time,I_AML1,I_AMD1,I_AMD2,I_AMIout,V_VMSw1,V_VMSw2,V_VML1,V_VMC1,V_VMp,V_VMD1,V_VMS1,V_VMD2,V_VMS2,V_VMout
0.0000095000,24.9576816559,436.4990234375,0.0000000000,436.4990234375,1000.0000000000,0.0000000000,1246.6787109375,-1402.0876464844,155.4089660645,0.0000000000,2.3539221287,-8.0708370209,-5.7169151306,2.3539221287
0.0000100000,33.1347656250,572.9030151367,0.0000000000,572.9030151367,0.0000000000,1000.0000000000,1615.6103515625,-809.4014892578,193.7911834717,0.0000000000,2.5986602306,-9.5600481033,-6.9613876343,2.5986602306
0.0000105000,43.6760787964,748.9691162109,0.0000000000,748.9691162109,0.0000000000,1000.0000000000,893.4221191406,-25.5511474609,132.1290588379,0.0000000000,2.9196767807,-8.2370872498,-5.3174104691,2.9196767807
0.0000110000,47.7183303833,815.4289550781,0.0000000000,815.4289550781,0.0000000000,1000.0000000000,28.6487045288,913.0913085938,58.2599868774,0.0000000000,3.3021302223,-6.6490616798,-3.3469314575,3.3021302223
0.0000115000,44.5831527710,760.8426513672,0.0000000000,760.8426513672,0.0000000000,1000.0000000000,-849.3558349609,1866.1166992188,-16.7608795166,0.0000000000,3.6891531944,-5.0341882706,-1.3450348377,3.6891531944
0.0000120000,34.6709938049,591.9643554688,0.0000000000,591.9643554688,0.0000000000,1000.0000000000,-1607.9028320312,2689.4951171875,-81.5923461914,0.0000000000,4.0224723816,-3.6369438171,0.3855283260,4.0224723816
0.0000125000,19.4116516113,332.9077453613,0.0000000000,332.9077453613,0.0000000000,1000.0000000000,-2131.0087890625,3257.3288574219,-126.3201141357,0.0000000000,4.2512087822,-2.6711411476,1.5800676346,4.2512087822
0.0000130000,1.0585722923,21.6770401001,0.0000000000,21.6770401001,0.0000000000,1000.0000000000,-2337.1123046875,3481.0832519531,-143.9710540771,0.0000000000,4.3396544456,-2.2872805595,2.0523738861,4.3396544456
0.0000135000,-17.6435546875,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,-2323.3666992188,3323.3666992188,0.0000000000,-4.2728266716,0.0000000000,-4.2728266716,0.0000000000,4.2728266716
0.0000140000,-20.7631568909,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,-1924.7023925781,2924.7023925781,0.0000000000,-4.2683782578,0.0000000000,0.0000000000,4.2683782578,4.2683782578
0.0000145000,-32.8227539062,0.0000000000,200.8382263184,200.8382263184,0.0000000000,1000.0000000000,-1197.3930664062,2381.1303710938,-183.7372436523,-11.8259887695,-7.5177783966,0.0000000000,4.3082103729,4.3082103729
0.0000150000,-40.0631828308,0.0000000000,320.4953918457,320.4953918457,1000.0000000000,0.0000000000,-1428.1654052734,1635.3599853516,-207.1945953369,-12.6923580170,-8.2638015747,0.0000000000,4.4285564423,4.4285564423
0.0000155000,-48.6326904297,0.0000000000,462.4529113770,462.4529113770,1000.0000000000,0.0000000000,-594.7549438477,727.6596069336,-132.9046630859,-10.7955551147,-6.1825213432,0.0000000000,4.6130332947,4.6130332947
0.0000160000,-49.9556503296,0.0000000000,482.2938537598,482.2938537598,1000.0000000000,0.0000000000,337.2008972168,-287.0332946777,-50.1676101685,-8.7143173218,-3.8749680519,0.0000000000,4.8393487930,4.8393487930
0.0000165000,-43.7573966980,0.0000000000,375.3867797852,375.3867797852,1000.0000000000,0.0000000000,1227.7316894531,-1256.7845458984,29.0528488159,-6.7065582275,-1.6605172157,0.0000000000,5.0460410118,5.0460410118
0.0000170000,-30.8982276917,0.0000000000,156.2411651611,156.2411651611,1000.0000000000,0.0000000000,1941.6917724609,-2034.8961181641,93.2042846680,-5.0214262009,0.1524038315,0.0000000000,5.1738300323,5.1738300323
0.0000175000,-13.2549781799,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,0.0000000000,2502.1520996094,-2502.1520996094,0.0000000000,-5.1746149063,0.0000000000,-5.1746149063,0.0000000000,5.1746149063
0.0000180000,-9.4135246277,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,0.0000000000,2738.2102050781,-2738.2102050781,0.0000000000,0.0000000000,5.1692276001,-5.1692276001,0.0000000000,5.1692276001
0.0000185000,10.5811386108,333.9646301270,0.0000000000,333.9646301270,1000.0000000000,0.0000000000,2426.6245117188,-2740.2314453125,313.6068115234,0.0000000000,5.2415418625,-17.0224571228,-11.7809143066,5.2415418625
0.0000190000,29.1724319458,644.2247314453,0.0000000000,644.2247314453,1000.0000000000,0.0000000000,2060.2922363281,-2343.7819824219,283.4898681641,0.0000000000,5.4733576775,-16.4886493683,-11.0152912140,5.4733576775
0.0000195000,43.5336036682,883.1090698242,0.0000000000,883.1090698242,1000.0000000000,0.0000000000,1378.5289306641,-1604.9096679688,226.3807525635,0.0000000000,5.8418173790,-15.3699121475,-9.5280942917,5.8418173790
0.0000200000,51.4487190247,1013.2476806641,0.0000000000,1013.2476806641,0.0000000000,1000.0000000000,1396.2476806641,-632.0373535156,235.7896881104,0.0000000000,6.3028998375,-16.3355979919,-10.0326986313,6.3028998375
0.0000205000,58.9472923279,1136.1196289062,0.0000000000,1136.1196289062,0.0000000000,1000.0000000000,352.4280395508,499.9085998535,147.6633911133,0.0000000000,6.8261237144,-14.5413379669,-7.7152137756,6.8261237144
