0.004,0.040,0.400
1.4466249943,1.3740874529,1.3584387302
1.4306249619,1.3680249453,1.3586275578
1.4608750343,1.3723499775,1.3719550371
1.4715000391,1.3725374937,1.3581700325
1.4635000229,1.3687875271,1.3556512594
1.4531250000,1.3668500185,1.3689436913
1.4479999542,1.3835874796,1.3567737341
1.4609999657,1.3688875437,1.3580187559
1.4490000010,1.3691999912,1.3572574854
1.4366250038,1.3716249466,1.3573987484
1.4804999828,1.3839249611,1.3578574657
1.4341249466,1.3754374981,1.3585100174
1.4512499571,1.3692749739,1.3567087650
1.4750000238,1.3834999800,1.3571925163
1.4596250057,1.3743250370,1.3581087589
1.4438749552,1.3744374514,1.3564100266
1.4437500238,1.3702249527,1.3586087227
1.4732500315,1.3707250357,1.3572736979
1.4351249933,1.3708125353,1.3716937304
1.4841250181,1.3692874908,1.3566449881
1.4606250525,1.3694125414,1.3585350513
1.4488749504,1.3696249723,1.3592137098
1.5158749819,1.3697874546,1.3573412895
1.5319999456,1.3689249754,1.3588249683
1.4397499561,1.3825625181,1.3565837145
1.4785000086,1.3808374405,1.3568812609
1.5407500267,1.3734999895,1.3595412970
1.4416249990,1.3690249920,1.3565087318
1.4588749409,1.3705625534,1.3581500053
1.4930000305,1.3689625263,1.3566237688
1.4798749685,1.3681875467,1.3686674833
1.4751249552,1.3680750132,1.3590874672
1.4251250029,1.3734999895,1.3562737703
1.4440000057,1.3717249632,1.3577225208
1.5082499981,1.3670500517,1.3586688042
1.4428750277,1.3826874495,1.3553425074
1.4741250277,1.3710249662,1.3576211929
1.4658750296,1.3674374819,1.3585987091
1.4443750381,1.3699250221,1.3591874838
1.4332499504,1.3702625036,1.3597199917
1.4488749504,1.3863749504,1.3565912247
1.4367500544,1.3708499670,1.3715262413
1.4902499914,1.3678375483,1.3610363007
1.4498749971,1.3753625154,1.3590012789
1.4481250048,1.3698874712,1.3569687605
1.4414999485,1.3694499731,1.3591949940
1.4538749456,1.3839875460,1.3584350348
1.5072499514,1.3864874840,1.3576325178
1.4401249886,1.3795249462,1.3598037958
1.4884999990,1.3705999851,1.3714774847
