0.004,0.040,0.400
1.4407500029,1.3684749603,1.3590337038
1.4433749914,1.3645499945,1.3715850115
1.4578750134,1.3687125444,1.3566025496
1.5083750486,1.3714624643,1.3586688042
1.5162500143,1.3701750040,1.3561099768
1.4377499819,1.3772875071,1.3714350462
1.4459999800,1.3691625595,1.3563237190
1.4488749504,1.3789875507,1.3598525524
1.4682500362,1.3683874607,1.3573012352
1.4579999447,1.3681000471,1.3585100174
1.4954999685,1.3683500290,1.3594686985
1.4408750534,1.3723125458,1.3568212986
1.4642499685,1.3681625128,1.3578225374
1.4582500458,1.3707875013,1.3561600447
1.4797500372,1.3818875551,1.3576774597
1.4392499924,1.3839875460,1.3571374416
1.4958750010,1.3740124702,1.3443800211
1.4928749800,1.3688499928,1.3565187454
1.4967499971,1.3838000298,1.3575162888
1.5001250505,1.3852499723,1.3567124605
1.4325000048,1.3708499670,1.3601537943
1.4903750420,1.3696000576,1.3580487967
1.4297499657,1.3730624914,1.3574787378
1.4402500391,1.3709875345,1.3566199541
1.4431250095,1.3832000494,1.3581537008
1.4405000210,1.3793375492,1.3604450226
1.4355000257,1.3687125444,1.3574687243
1.4336249828,1.3839625120,1.3585975170
1.4308749437,1.3648874760,1.3575024605
1.4518749714,1.3720500469,1.3558675051
1.4393750429,1.3816750050,1.3575350046
1.4451249838,1.3754999638,1.3657624722
1.4312499762,1.3713999987,1.3578150272
1.4922499657,1.3697999716,1.3713799715
1.4440000057,1.3658499718,1.3574124575
1.4292500019,1.3702374697,1.3589487076
1.4563750029,1.3839124441,1.3580800295
1.4448750019,1.3701750040,1.3602463007
1.4308749437,1.3703500032,1.3566962481
1.4270000458,1.3811124563,1.3568912745
1.4402500391,1.3672875166,1.3564250469
1.4251250029,1.3684500456,1.3566324711
1.4296250343,1.3809624910,1.3573237658
1.4591250420,1.3731000423,1.3575412035
1.4392499924,1.3683749437,1.3714362383
1.5308749676,1.3689500093,1.3579287529
1.4403749704,1.3685624599,1.3565349579
1.4478750229,1.3711500168,1.3588825464
1.4824999571,1.3702625036,1.3553124666
1.4370000362,1.3676375151,1.3568462133
