0.004,0.040,0.400
1.4132499695,1.3693250418,1.3584662676
1.4312499762,1.3650875092,1.3571462631
1.4194999933,1.3643250465,1.3569062948
1.4473750591,1.3689999580,1.3554224968
1.4573750496,1.3653249741,1.3712762594
1.4666249752,1.3677999973,1.3573937416
1.4372500181,1.3669749498,1.3713999987
1.4907499552,1.3684500456,1.3576824665
1.4191249609,1.3645875454,1.3575049639
1.4357500076,1.3641749620,1.3575325012
1.4659999609,1.3681750298,1.3569974899
1.4589999914,1.3676249981,1.3562200069
1.4243750572,1.3635749817,1.3582212925
1.4661250114,1.3694875240,1.3578312397
1.4294999838,1.3623000383,1.3710974455
1.4613749981,1.3800874949,1.3587000370
1.4226249456,1.3714624643,1.3575437069
1.4593750238,1.3639124632,1.3576037884
1.4257500172,1.3644249439,1.3711725473
1.4241249561,1.3657875061,1.3557187319
1.4379999638,1.3633124828,1.3562999964
1.4279999733,1.3677250147,1.3583550453
1.4558750391,1.3758000135,1.3561049700
1.4406249523,1.3690874577,1.3561300039
1.4318749905,1.3689999580,1.3569912910
1.4258749485,1.3678250313,1.3599549532
1.4194999933,1.3620749712,1.3716249466
1.4609999657,1.3652625084,1.3574199677
1.4264999628,1.3693499565,1.3575862646
1.4299999475,1.3809125423,1.3584012985
1.4594999552,1.3651374578,1.3599524498
1.4140000343,1.3653875589,1.3711625338
1.4361250401,1.3703625202,1.3564087152
1.4259999990,1.3774875402,1.3563749790
1.4832500219,1.3647500277,1.3566075563
1.4359999895,1.3793499470,1.3583012819
1.4286249876,1.3790750504,1.3576587439
1.4501249790,1.3646625280,1.3565862179
1.4548749924,1.3665250540,1.3591175079
1.4281250238,1.3660750389,1.3586337566
1.4423749447,1.3660124540,1.3714449406
1.4172500372,1.3658000231,1.3714562654
1.4290000200,1.3667625189,1.3588000536
1.4535000324,1.3647124767,1.3578112125
1.4225000143,1.3651750088,1.3574287891
1.4491250515,1.3657125235,1.3663487434
1.4594999552,1.3662625551,1.3572437763
1.4194999933,1.3665624857,1.3564100266
1.4663749933,1.3735500574,1.3565537930
1.4301249981,1.3674000502,1.3567637205
