0.004,0.040,0.400
1.4182499647,1.3808000088,1.3552349806
1.4780000448,1.3724625111,1.3568336964
1.4186249971,1.3788125515,1.3592075109
1.4103749990,1.3631750345,1.3570250273
1.4692499638,1.3651875257,1.3564399481
1.4156249762,1.3640749454,1.3569325209
1.4382499456,1.3622499704,1.3571187258
1.4188749790,1.3792124987,1.3576024771
1.4176249504,1.3697999716,1.3569712639
1.4272500277,1.3668375015,1.3710675240
1.4218750000,1.3629374504,1.3569837809
1.4663749933,1.3658125401,1.3572299480
1.4152499437,1.3626500368,1.3568187952
1.4191249609,1.3667374849,1.3582400084
1.4225000143,1.3648250103,1.3581612110
1.4194999933,1.3674374819,1.3576350212
1.4214999676,1.3817499876,1.3555912971
1.4233750105,1.3669874668,1.3573037386
1.4420000315,1.3675374985,1.3578649759
1.4182499647,1.3813124895,1.3572711945
1.4720000029,1.3606250286,1.3572499752
1.4181250334,1.3676625490,1.3567324877
1.4320000410,1.3643499613,1.3566700220
1.4147499800,1.3620749712,1.3713724613
1.4151250124,1.3660999537,1.3559550047
1.4426250458,1.3652374744,1.3560662270
1.4704999924,1.3620624542,1.3587100506
1.4140000343,1.3703750372,1.3563013077
1.4272500277,1.3659750223,1.3577086926
1.4287500381,1.3739875555,1.3557674885
1.4650000334,1.3819375038,1.3587812185
1.4241249561,1.3646374941,1.3569500446
1.4426250458,1.3655999899,1.3569712639
1.4138749838,1.3655999899,1.3552637100
1.4733749628,1.3658125401,1.3561637402
1.4467500448,1.3630374670,1.3596687317
1.4270000458,1.3806250095,1.3711987734
1.4214999676,1.3635749817,1.3577862978
1.4570000172,1.3716624975,1.3597224951
1.4106249809,1.3691124916,1.3710862398
1.4075000286,1.3630625010,1.3558787107
1.4473750591,1.3763500452,1.3582899570
1.4965000153,1.3781125546,1.3561675549
1.4636249542,1.3696500063,1.3587850332
1.4442499876,1.3649624586,1.3566349745
1.4243750572,1.3644624949,1.3567550182
1.4251250029,1.3791375160,1.3570662737
1.4513750076,1.3635749817,1.3688075542
1.4896249771,1.3634375334,1.3575550318
1.4110000134,1.3694250584,1.3686262369
