0.004,0.040,0.400
0.6196249723,0.5321000218,0.5193424821
0.6071249843,0.5311999917,0.5194724798
0.6136249900,0.5314624906,0.5193237662
0.6166250110,0.5332249999,0.5195900202
0.6048750281,0.5314249992,0.5197525024
0.6050000191,0.5307499766,0.5193437338
0.6110000014,0.5316874981,0.5195112228
0.6122499704,0.5313374996,0.5196549892
0.5841249824,0.5316500068,0.5194699764
0.6846250296,0.5317249894,0.5194600224
0.6087499857,0.5393249989,0.5194900036
0.6586250067,0.5278624892,0.5193862319
0.5874999762,0.5314375162,0.5194875002
0.6192499995,0.5333124995,0.5193612576
0.6667500138,0.5312625170,0.5191137791
0.6865000129,0.5314875245,0.5192937255
0.6946250200,0.5311999917,0.5187262297
0.6477500200,0.5343624949,0.5192162395
0.6420000196,0.5279999971,0.5194012523
0.6707500219,0.5318375230,0.5193612576
0.5842499733,0.5342000127,0.5193387270
0.6258749962,0.5304499865,0.5194500089
0.6088749766,0.5331125259,0.5194162726
0.6448749900,0.5259249806,0.5195112228
0.6006249785,0.5325375199,0.5193412304
0.6137499809,0.5323500037,0.5193449855
0.6492499709,0.5251374841,0.5191512704
0.6507499814,0.5356374979,0.5192750096
0.6408749819,0.5320500135,0.5192912221
0.6794999838,0.5276749730,0.5193562508
0.5916249752,0.5322124958,0.5193712711
0.6201249957,0.5324000120,0.5193312764
0.6125000119,0.5311999917,0.5192124844
0.6551250219,0.5313374996,0.5193775296
0.5878750086,0.5314375162,0.5192337632
0.6558750272,0.5319874883,0.5192875266
0.6516249776,0.5312250257,0.5193737745
0.6211249828,0.5310249925,0.5194287300
0.6161249876,0.5317999721,0.5191887617
0.5848749876,0.5323374867,0.5195312500
0.6566249728,0.5319250226,0.5193012357
0.6560000181,0.5315874815,0.5187125206
0.6747499704,0.5311750174,0.5193637609
0.6704999804,0.5315625072,0.5195525289
0.5927500129,0.5312625170,0.5192412734
0.5885000229,0.5302749872,0.5195350051
0.6051250100,0.5312749743,0.5193137527
0.7680000067,0.5318499804,0.5191925168
0.6513749957,0.5305874944,0.5194224715
0.5972499847,0.5360875130,0.5193912387
