"Time / s","Vmout:Measured voltage","VmD1:Measured voltage","VmD2:Measured voltage","AmD1:Measured current","AmD2:Measured current","AMLr:Measured current"
0.00047679999999999999,9.369848559754459,-17.742150146296449,0,0,100.25040587252656,-6.4065676651045038
0.00047699999999999999,9.3801293235984406,-17.365764395175574,0,0,76.235617077811554,-5.5706597975734731
0.0004772,9.3848494962311353,-17.048457363010069,0,0,44.939760009840001,-4.3381347727025972
0.0004774,9.3827149692271679,-16.811232164476628,0,0,8.0127352743183842,-2.7986389253178148
0.00047759999999999995,9.3747369817468584,-13.541228091781285,-5.2082458717124327,0,0,-2.6294029054579724
0.00047779999999999996,9.3672401912774781,-13.094013193753337,-5.6404671888016198,0,0,-2.828862865215692
0.00047799999999999996,9.3597493958421385,-12.616536939469219,-6.1029618522150573,0,0,-3.005334933005483
0.00047819999999999997,9.3522645906467332,-12.112618447717335,-6.5919107335761309,0,0,-3.157385926508101
0.00047839999999999997,9.3447857709009838,-11.586291622119901,-7.1032799196820671,0,0,-3.2837811067801681
0.00047859999999999998,9.3373129318184471,-11.041772372504141,-7.6328534911327557,0,0,-3.3834942050204484
0.00047879999999999998,9.3298460686165061,-10.483424358368033,-8.1762677788649789,0,0,-3.4557157553810045
0.00047899999999999999,9.3223851765163666,-9.9157235327930078,-8.7290468202397271,0,0,-3.4998596661648227
0.00047919999999999999,9.3149302507430587,-9.3432217748950084,-9.2866387265911108,0,0,-3.5155679760653462
0.0004794,9.3074812865254302,-8.7705099063033529,-9.8444526667475074,0,0,-3.5027137568502278
0.0004796,9.3000382790961424,-8.2021803921541814,-10.397896166038102,0,0,-3.4614021389517284
0.00047979999999999995,9.2926012236916709,-7.6427900296410289,-10.942412417742315,0,0,-3.3919694516771632
0.00047999999999999996,9.2851701155522992,0,-19.608270699742327,0,0,-3.2949804850707061
0.00048019999999999996,9.279947132656968,0,-19.760057781815245,22.569007853952968,0,-1.595602587532245
0.00048039999999999997,9.2794878999924588,0,-19.804184778128072,47.223396255477496,0,0.21733597949713968
0.00048059999999999997,9.2839676055842091,0,-19.737773340709122,71.572642514894895,0,2.0137383953393346
0.00048079999999999998,9.2930827312825066,0,-19.565678265003477,93.248694527147052,0,3.6647297923878206
0.00048099999999999998,9.3060731440990843,0,-19.300135775633073,110.07685737250839,0,5.0519511280044362
0.00048119999999999999,9.3217771350388752,0,-18.959879597798455,120.23269598381094,0,6.0760925385406388
0.00048139999999999999,9.3387154285090652,0,-18.568788683999845,122.37364146740384,0,6.6640509364275822
0.0004816,9.3551980969784196,0,-18.154164227459145,115.73581559656185,0,6.7741959700417098
0.0004818,9.3694466650524362,0,-17.744760306547334,100.18909858813007,0,6.3993650065886314
0.00048199999999999995,9.3797225934562682,0,-17.368710243781091,76.246478308673971,0,5.5673716649188751
0.00048219999999999996,9.3844528753238965,0,-17.051498251276897,45.02701712417236,0,4.3389917938933724
0.00048239999999999996,9.3823436875699855,0,-16.814122634242747,8.175117789961174,0,2.8035727232797791
0.00048259999999999997,9.3743635210738159,-5.198843174461877,-13.549883867685754,0,0,2.62688477009891
0.00048279999999999997,9.3668670292534983,-5.6306968847847374,-13.10303717372226,0,0,2.8268103579937049
0.00048299999999999998,9.3593765322283993,-6.0929002970164285,-12.625852767440371,0,0,3.0037647181085521
0.00048319999999999998,9.3518920252046005,-6.5816366496057226,-12.122147400803478,0,0,3.156310749345574
0.00048339999999999999,9.3444135033920155,-7.092873756537279,-11.595953250246751,0,0,3.2832096905285719
0.00048359999999999999,9.3369409620043928,-7.6223967719435697,-11.051485152065217,0,0,3.3834311798503598
0.0004838,9.3294743962593039,-8.1658424379331684,-10.493106354585439,0,0,3.4561616209391683
0.000484,9.3220138013781479,-8.718734537353658,-9.9252930654026379,0,0,3.5008107876155292
0.00048419999999999995,9.3145591725861419,-9.2765202634245796,-9.3525980817477041,0,0,3.5170166137224044
0.00048439999999999996,9.3071105051123251,-9.8346072107339566,-8.7796137994906935,0,0,3.5046481291579767
0.00048459999999999996,9.2996677941895491,-10.388400687050726,-8.2109349013283719,0,0,3.4638065183025777
0.00048479999999999997,9.2922310350544794,-10.933341042806362,-7.6511210273025956,0,0,3.3948242922863998
0.00048499999999999997,9.2848002229475881,-19.604355673895139,0,0,0,3.2982625818688711
0.00048519999999999998,9.2795713681807666,-19.756458418154967,0,0,22.508407365548287,1.6022077199359006
0.00048539999999999998,9.2790949509166776,-19.801085505262616,0,0,47.110866587188575,-0.20788002719417342
0.00048559999999999999,9.2835482923446389,-19.735324221149185,0,0,71.42063258844162,-2.0021092934983837
0.00048579999999999999,9.2926306751188452,-19.563984192692857,0,0,93.072531400850323,-3.6517617471921398
0.000486,9.3055852323841339,-19.299248933122396,0,0,109.89363939833279,-5.0385746847073278
0.0004862,9.3212537507834643,-18.959795716290902,0,0,120.06005846971942,-6.0632674506865065
0.00048640000000000001,9.3381604275443095,-18.5694473751151,0,0,122.22848389311585,-6.65269694401346
0.00048659999999999996,9.3546185345178756,-18.155453361853713,0,0,115.63308218309788,-6.7651264792804966
0.00048679999999999996,9.3688522914107413,-17.746524122681397,0,0,100.14070015267234,-6.3932284535306039
