"Time / s","Am1-source:Measured current","AmD1:Measured current","AmD4:Measured current","AmD3:Measured current","AmD2:Measured current","VmD1:Measured voltage","VmD4:Measured voltage","VmD3:Measured voltage","VmD2:Measured voltage","VmC1:Measured voltage"
0,0,0,0,0,0,0,0,0,0,0
9.9999999999999995e-07,1.192643922930035,1.192643922930035,0,0,1.192643922930035,0,-0.11373644008187865,-0.11373644008187865,0,0.11373644008187865
1.9999999999999999e-06,1.2554816108785971,1.2554816108785971,0,0,1.2554816108785971,0,-0.23876598155826614,-0.23876598155826614,0,0.23876598155826614
3.0000000000000001e-06,1.2598293825597793,1.2598293825597793,0,0,1.2598293825597793,0,-0.36437050048256575,-0.36437050048256575,0,0.36437050048256575
3.9999999999999998e-06,1.26110440700797,1.26110440700797,0,0,1.26110440700797,0,-0.48999086479666976,-0.48999086479666976,0,0.48999086479666976
4.9999999999999996e-06,1.2621732704285691,1.2621732704285691,0,0,1.2621732704285691,0,-0.61559344885828005,-0.61559344885828005,0,0.61559344885828005
6.0000000000000002e-06,1.2631842164312417,1.2631842164312417,0,0,1.2631842164312417,0,-0.74117181123437847,-0.74117181123437847,0,0.74117181123437847
6.9999999999999999e-06,1.2641448756560294,1.2641448756560294,0,0,1.2641448756560294,0,-0.86672091760073766,-0.86672091760073766,0,0.86672091760073766
7.9999999999999996e-06,1.2650556069612122,1.2650556069612122,0,0,1.2650556069612122,0,-0.99223580752577889,-0.99223580752577889,0,0.99223580752577889
9.0000000000000002e-06,1.2659163949175252,1.2659163949175252,0,0,1.2659163949175252,0,-1.1177115256913153,-1.1177115256913153,0,1.1177115256913153
9.9999999999999991e-06,1.2667272066042301,1.2667272066042301,0,0,1.2667272066042301,0,-1.2431431185202249,-1.2431431185202249,0,1.2431431185202249
1.1e-05,1.2674880100668133,1.2674880100668133,0,0,1.2674880100668133,0,-1.3685256341874474,-1.3685256341874474,0,1.3685256341874474
1.2e-05,1.2681987752729356,1.2681987752729356,0,0,1.2681987752729356,0,-1.493854122805925,-1.493854122805925,0,1.493854122805925
1.2999999999999999e-05,1.2688594741628663,1.2688594741628663,0,0,1.2688594741628663,0,-1.6191236366215218,-1.6191236366215218,0,1.6191236366215218
1.4e-05,1.2694700806533774,1.2694700806533774,0,0,1.2694700806533774,0,-1.7443292302083293,-1.7443292302083293,0,1.7443292302083293
1.4999999999999999e-05,1.2700305706388235,1.2700305706388235,0,0,1.2700305706388235,0,-1.8694659606638979,-1.8694659606638979,0,1.8694659606638979
1.5999999999999999e-05,1.2705409219919659,1.2705409219919659,0,0,1.2705409219919659,0,-1.9945288878043781,-1.9945288878043781,0,1.9945288878043781
1.7e-05,1.2710011145649958,1.2710011145649958,0,0,1.2710011145649958,0,-2.1195130743595478,-2.1195130743595478,0,2.1195130743595478
1.8e-05,1.2714111301903586,1.2714111301903586,0,0,1.2714111301903586,0,-2.2444135861677301,-2.2444135861677301,0,2.2444135861677301
1.8999999999999998e-05,1.2717709526812939,1.2717709526812939,0,0,1.2717709526812939,0,-2.3692254923705813,-2.3692254923705813,0,2.3692254923705813
1.9999999999999998e-05,1.2720805678326599,1.2720805678326599,0,0,1.2720805678326599,0,-2.4939438656077582,-2.4939438656077582,0,2.4939438656077582
2.0999999999999999e-05,1.2723399634213024,1.2723399634213024,0,0,1.2723399634213024,0,-2.6185637822114365,-2.6185637822114365,0,2.6185637822114365
2.1999999999999999e-05,1.2725491292068227,1.2725491292068227,0,0,1.2725491292068227,0,-2.7430803224006928,-2.7430803224006928,0,2.7430803224006928
