"Time / s","Vmout:Measured voltage","VmD1:Measured voltage","VmD2:Measured voltage","AMLr:Measured current","AmD1:Measured current","AmD2:Measured current"
0,0,0,-11.740058898925781,0,0,0
3.3333333333333335e-07,0.064095966517925262,0,-10.697971343994141,20.624359130859375,378.2200927734375,0
6.6666666666666671e-07,0.24350431561470032,0,-7.7865638732910156,37.154495239257813,681.160400390625,0
1.0000000000000002e-06,0.50236386060714722,0,-3.5829839706420898,46.316452026367188,848.62347412109375,0
1.3333333333333334e-06,0.78901851177215576,0,0,46.297683715820313,847.28253173828125,0
1.6666666666666667e-06,1.0604194402694702,0,0,35.810386657714844,717.9512939453125,67.566879272460938
2.0000000000000003e-06,1.3079531192779541,0,0,16.835895538330078,500.28216552734375,206.14190673828125
2.3333333333333336e-06,1.5261644124984741,0,0,-6.1225814819335938,237.43673706054688,374.33966064453125
2.6666666666666668e-06,1.71025550365448,-11.249107360839844,0,-27.259056091308594,0,533.0421142578125
3.0000000000000001e-06,1.9227123260498047,-7.9531536102294922,0,-38.447372436523438,0,735.4422607421875
3.3333333333333333e-06,2.1797139644622803,-3.9143886566162109,0,-42.008132934570313,0,797.5836181640625
3.666666666666667e-06,2.4314911365509033,0,0,-37.2393798828125,0,706.5609130859375
4.0000000000000007e-06,2.6358013153076172,0,0,-24.398399353027344,35.931747436523438,501.404296875
4.3333333333333339e-06,2.7814130783081055,0,0,-5.7774124145507813,120.28038024902344,236.14556884765625
4.6666666666666672e-06,2.8651771545410156,0,-13.127250671386719,13.310695648193359,240.78306579589844,0
5.0000000000000004e-06,2.9792306423187256,0,0,25.221153259277344,454.72021484375,0
5.3333333333333337e-06,3.0931611061096191,-22.590356826782227,0,-13.889095306396484,0,278.93026733398438
5.6666666666666669e-06,3.2686679363250732,-19.798103332519531,0,-41.581268310546875,0,781.91888427734375
6.0000000000000002e-06,3.5886895656585693,-14.632271766662598,0,-61.022415161132813,0,1133.1949462890625
6.3333333333333334e-06,3.9896402359008789,-8.1172561645507813,0,-68.364517211914063,0,1262.006591796875
6.6666666666666666e-06,4.3915224075317383,-1.5436410903930664,0,-62.158554077148438,0,1141.714599609375
7.0000000000000007e-06,4.7137851715087891,0,0,-43.640899658203125,0,795.0555419921875
7.333333333333334e-06,4.9191346168518066,0,0,-14.303543090820313,114.55567932128906,358.80499267578125
7.6666666666666672e-06,5.0151710510253906,0,-22.278205871582031,16.17828369140625,323.72662353515625,0
8.0000000000000013e-06,5.1798748970031738,0,-19.624607086181641,36.499298095703125,688.5621337890625,0
8.3333333333333337e-06,5.4454646110534668,0,-15.286750793457031,49.580642700195313,920.28436279296875,0
8.6666666666666678e-06,5.7586426734924316,0,-10.123683929443359,52.834747314453125,971.31915283203125,0
9.0000000000000002e-06,6.0561342239379883,0,-5.1565341949462891,45.622406005859375,829.918212890625,0
9.3333333333333343e-06,6.2772312164306641,0,-1.3661127090454102,29.378738403320313,522.4744873046875,0
9.6666666666666667e-06,6.3758234977722168,0,0,7.3280448913574219,108.2779541015625,0
1.0000000000000001e-05,6.3326144218444824,0,0,-9.9633712768554688,0,204.03593444824219
1.0333333333333333e-05,6.3217220306396484,0,-22.852573394775391,14.087890625,236.7308349609375,0
1.0666666666666667e-05,6.4450092315673828,0,-20.545162200927734,31.146568298339844,539.74786376953125,0
1.1000000000000001e-05,6.6516528129577637,0,-16.82667350769043,42.039413452148438,729.42279052734375,0
1.1333333333333334e-05,6.8964290618896484,0,-12.426242828369141,44.612396240234375,766.1558837890625,0
1.1666666666666668e-05,7.1258950233459473,0,-8.2065258026123047,38.361106872558594,640.6776123046875,0
1.2e-05,7.2889890670776367,0,-4.9927330017089844,24.529930114746094,375.8746337890625,0
1.2333333333333334e-05,7.3471508026123047,0,-3.4090919494628906,5.8649272918701172,22.243576049804688,0
1.2666666666666667e-05,7.2819604873657227,-19.473073959350586,0,-7.041107177734375,0,209.45489501953125
1.3000000000000001e-05,7.3673529624938965,-18.358274459838867,0,-15.554977416992188,0,354.29931640625
1.3333333333333333e-05,7.4921307563781738,-16.53660774230957,0,-20.974983215332031,0,442.2371826171875
1.3666666666666667e-05,7.6336255073547363,-14.373392105102539,0,-22.230781555175781,0,453.5936279296875
1.4000000000000001e-05,7.7651057243347168,-12.300006866455078,0,-19.077590942382813,0,383.874755859375
1.4333333333333334e-05,7.8610763549804688,-10.728378295898438,0,-12.144496917724609,0,244.65325927734375
1.4666666666666668e-05,7.9023294448852539,-9.9693603515625,0,-2.8093605041503906,0,61.270309448242188
1.5e-05,7.8797516822814941,-33.650039672851563,0,0.69063425064086914,0,0
1.5333333333333334e-05,7.9670395851135254,-32.082355499267578,0,-31.450584411621094,0,577.2664794921875
1.5666666666666667e-05,8.2304468154907227,-27.587852478027344,0,-57.354721069335938,0,1039.869873046875
1.6000000000000003e-05,8.6149110794067383,-21.0528564453125,0,-71.893890380859375,0,1293.527587890625
