time,Current: AMS1,Current: AMS2,Current: AMLr,Current: AMD1,Current: AMD2,Voltage: VMLp,Voltage: VMD1,Voltage: VMD2,Voltage: VMout
0.0,1.7767385634445714,0.0,1.7767385634445714,32.58767439914823,0.0022069014691408614,100.0,0.0,-1.92484347026678,0.002765902235991214
1.6666666666666668e-07,3.4614021713844414,0.0,3.4614021713844414,63.48408235270355,0.006191330510651365,100.0,0.0,-1.7792643102803782,0.010902956252217651
3.3333333333333335e-07,4.968230801487809,0.0,4.968230801487809,91.10940982229002,0.008861363178952565,100.0,0.0,-1.5673711347781065,0.023968086522976953
5.000000000000001e-07,6.220527011392848,0.0,6.220527011392848,114.05426510062273,0.01109129281964421,100.0,0.0,-1.286367698527828,0.04128584424583756
6.666666666666667e-07,7.154655071030168,0.0,7.154655071030168,131.14846894250718,0.012754160782572244,100.0,0.0,-0.9507193653509801,0.061963689732185565
8.333333333333333e-07,7.723254477935198,0.0,7.723254477935198,141.52113806765158,0.013765839244211733,100.0,0.0,-0.5775717405498206,0.08493781474996841
1.0000000000000002e-06,7.897641528425185,0.0,7.897641528425185,144.64483337520994,0.014075332378109685,100.0,0.0,-0.18596748006945107,0.10902752630102801
1.1666666666666668e-06,7.669256331093752,0.0,7.669256331093752,140.36216844022192,0.013667490723857433,100.0,0.0,0.0,0.13299554593911514
1.3333333333333334e-06,6.967630621239083,0.0,6.967630621239083,131.36435722345126,4.188802466938675,100.0,0.0,0.0,0.15592440905452054
1.5e-06,5.839279346909343,0.0,5.839279346909343,117.98538304250322,11.994500419243899,100.0,0.0,0.0,0.1779706202743343
1.6666666666666667e-06,4.353922388180757,0.0,4.353922388180757,100.89548867460918,22.792020979119698,100.0,0.0,0.0,0.1990121693219119
1.8333333333333335e-06,2.6031056368464274,0.0,2.6031056368464274,80.97179632493918,35.739722216041564,100.0,0.0,0.0,0.21893271568895648
2.0000000000000003e-06,0.6945590186608408,0.0,0.6945590186608408,59.24524386420667,49.845924392209014,100.0,0.0,0.0,0.23762223181437445
2.166666666666667e-06,-1.2544320917767493,0.0,-1.2544320917767493,36.83824890604862,64.03102500266877,100.0,0.0,0.0,0.25497761071976166
2.3333333333333336e-06,-3.124234219410354,0.0,-3.124234219410354,14.89692995959522,77.19503710793681,100.0,0.0,0.0,0.2709032347462663
2.5e-06,-4.800209008465169,0.0,-4.800209008465169,-5.4779570435742855,88.2863940107842,100.0,0.0,0.0,0.2853115022561732
2.666666666666667e-06,-5.726354102469125,0.0,-5.726354102469125,0.04679685745488345,110.31469603142352,100.0,-1.5893180808696683,0.0,0.3021416167566212
2.8333333333333335e-06,-6.4682388150681485,0.0,-6.4682388150681485,0.011250560365139207,123.64662396751575,100.0,-1.264491776703287,0.0,0.32168092650796476
3e-06,-6.878801183410551,0.0,-6.878801183410551,0.012225172923647455,130.92093974455307,100.0,-0.9310122543043642,0.0,0.3429412329884295
3.1666666666666667e-06,-6.938127965527369,0.0,-6.938127965527369,0.012330263362656618,131.73584667419962,100.0,-0.5856589812685451,0.0,0.3648633525663194
3.3333333333333333e-06,-6.643496220598094,0.0,-6.643496220598094,0.011806557845278046,126.04155065439488,100.0,-0.2462849892413681,0.0,0.3863527336068206
3.5000000000000004e-06,-6.010237667086705,0.0,-6.010237667086705,0.010679859010996435,114.12002467698295,100.0,0.0,0.0,0.4063354907634114
3.666666666666667e-06,-5.024964439615863,0.0,-5.024964439615863,2.330989194212002,97.94193660660582,100.0,0.0,0.0,0.42394812316430064
3.833333333333334e-06,-3.7324878974713136,0.0,-3.7324878974713136,7.261009830724541,78.60585110385983,100.0,0.0,0.0,0.43919112069132715
4.000000000000001e-06,-2.212462358192687,0.0,-2.212462358192687,14.09323519301423,56.89976271902569,100.0,0.0,0.0,0.45198131339787706
4.166666666666667e-06,-0.5584135560827419,0.0,-0.5584135560827419,21.991215129392234,33.74315676333381,100.0,0.0,0.0,0.4622492284943183
4.333333333333334e-06,1.1280157604234688,0.0,1.1280157604234688,30.043343297749857,10.13275841279994,100.0,0.0,0.0,0.4699394674520221
4.5e-06,2.743311729445794,0.0,2.743311729445794,37.321252825132454,-12.91633773651197,100.0,0.0,0.20412684373174428,0.4750110045804104
4.666666666666667e-06,3.5194720101104178,0.0,3.5194720101104178,63.593972760624084,0.09354600882557024,100.0,0.0,-2.0151175038779665,0.48385171212953515
4.833333333333333e-06,4.371709105126557,0.0,4.371709105126557,78.76422988359552,0.007245305491770204,100.0,0.0,-1.7827193915341188,0.4955547293378697
5e-06,0.0,4.9988156670542185,4.9988156670542185,89.87946561013604,0.008949302884892183,100.0,0.0,-1.5470146016599717,0.5094679244138981
5.166666666666667e-06,0.0,1.8172889560170455,1.8172889560170455,31.127300442876923,0.005196830005203636,100.0,0.0,0.0,0.5193153775988256
5.333333333333334e-06,0.0,-1.9810779630815063,-1.9810779630815063,-13.225309576355013,26.966511519811167,100.0,0.0697704479628416,0.0,0.5227097234702307
5.500000000000001e-06,0.0,-4.554654945590358,-4.554654945590358,0.09651767224957813,86.46540751778335,100.0,-4.079846895732546,0.0,0.5325993239710963
5.666666666666667e-06,0.0,-7.155917357336606,-7.155917357336606,0.012181270974829867,133.67571200970363,100.0,-3.7381776007743035,0.0,0.5508589553368151
5.833333333333334e-06,0.0,-9.388444930931746,-9.388444930931746,0.01674595350256239,174.19096077986947,100.0,-3.322965756529773,0.0,0.5765049590266363
6e-06,0.0,-11.140503739837055,-11.140503739837055,0.01986526677747767,205.87052585100244,100.0,-2.8075768451907246,0.0,0.6082159265243535
