"Time / s","Vmout:Measured voltage","Vp:Measured voltage","Vs1:Measured voltage","Vs2:Measured voltage","VD1:Measured voltage","VD2:Measured voltage","AM_D1:Measured current","AM_D2:Measured current","VC1:Measured voltage","AML1:Measured current","AMI0:Measured current","Vsw1:Measured voltage","Vsw2:Measured voltage","VL1:Measured voltage"
0,0,85.285129287576922,0,-2.4846704938118904,0,-2.4846704938118904,0,0,0,0,0,0,1000,914.71487071242314
1.4285714285714285e-07,0.0026160805439691365,84.773217004722355,0.0026160805439691365,-2.4710632868289624,0,-2.4736793673729314,36.588848519773457,0,6.4747764581363763,2.1731580561924844,36.588848519773457,0,1000,908.75200653714137
2.8571428571428569e-07,0.010429121487507464,83.244137501813142,0.010429121487507464,-2.4304180367925952,0,-2.4408471582801026,72.69989274880092,0,25.814689402131307,4.3179832626494807,72.69989274880092,0,1000,890.94117309605565
4.2857142857142857e-07,0.023335537232933402,80.717799832948671,0.023335537232933402,-2.3632630287071477,0,-2.3865985659400812,107.86155903358855,0,57.767592173493419,6.4065122207431795,107.86155903358855,0,1000,861.514607993558
5.7142857142857139e-07,0.041165227096880044,77.227113212018608,0.041165227096880044,-2.2704720670727747,0,-2.311637294169655,141.61465271274304,0,101.91689504169727,8.4115155663309835,141.61465271274304,0,1000,820.85599174628419
7.1428571428571421e-07,0.063683793250562351,72.817557924474826,0.063683793250562351,-2.1532530827846283,0,-2.2169368760351906,173.51834498810504,0,157.68699694120193,10.306852978796513,173.51834498810504,0,1000,769.49544513432329
8.5714285714285713e-07,0.090595596950028501,67.546592341109658,0.090595596950028501,-2.0131323837900021,0,-2.1037279807400306,203.15592033365809,0,224.35079035267898,12.067813990661445,203.15592033365809,0,1000,708.10261730621141
9.9999999999999995e-07,0.12154761320823593,61.48290376539704,0.12154761320823593,-1.8519347548487244,0,-1.9734823680569602,230.14020950922824,0,301.03914147725635,13.671440154395217,230.14020950922824,0,1000,637.47795475734665
1.1428571428571428e-06,0.15613403365096212,54.705512882000725,0.15613403365096212,-1.6717596658601617,0,-1.8278936995111237,254.11863734515745,0,386.75222209934122,15.096824366119424,254.11863734515745,0,1000,558.5422650186581
1.2857142857142856e-06,0.19390155754400318,47.302743482751012,0.19390155754400318,-1.4749538989553517,0,-1.6688554564993547,274.77781948680865,0,480.37254539192128,16.325383443735639,274.77781948680865,0,1000,472.32471112532778
1.4285714285714284e-06,0.23435530200700691,39.371070902850207,0.23435530200700691,-1.2640809512435085,0,-1.4984362532505155,291.84764816845745,0,580.67953570291013,17.341100405716258,291.84764816845745,0,1000,379.94939339423968
1.5714285714285712e-06,0.27696525435660579,31.013864181390119,0.27696525435660579,-1.041887612139742,0,-1.3188528664963477,305.10481374816976,0,686.36544236173609,18.130733291841349,305.10481374816976,0,1000,282.62069345687382
1.7142857142857143e-06,0.32117318245350612,22.340038345833705,0.32117318245350612,-0.81126815103722771,0,-1.1324413334907337,314.37571609179741,0,796.05239002270935,18.683987803389645,314.37571609179741,0,1000,181.60757163145695
1.8571428571428571e-06,0.36639991295700414,13.462634391863872,0.36639991295700414,-0.57522658224198908,0,-0.94162649519899322,319.53872784933213,0,908.31034324420773,18.993651512011471,319.53872784933213,0,1000,78.227022363928427
1.9999999999999999e-06,0.41205288259388417,4.4973454726597168,0.41205288259388417,-0.33683749915574523,0,-0.74889038174962952,320.52578011681976,0,1021.6757510835553,19.055687887575022,320.52578011681976,0,1000,-26.173096556214887
2.1428571428571427e-06,0.45753386398934304,-4.4389914870681366,0.45753386398934304,-0.099205988345117735,0,-0.5567398523344611,317.32324981168699,0,1134.670628622051,18.869288919152492,317.32324981168699,0,1000,-130.23163713498298
2.2857142857142856e-06,0.50224676533188284,-13.229919086204632,0.50224676533188284,0.13457285386930051,0,-0.36767391146258221,309.97213719348372,0,1245.8218266384883,18.436885643168655,309.97213719348372,0,1000,-232.5919075522836
2.4285714285714284e-06,0.54560540218168496,-21.760877791099233,0.54560540218168496,0.36145427448930834,0,-0.18415112769237663,298.56753121699535,0,1353.6802381969749,17.764116441533123,298.56753121699535,0,1000,-331.91936040587552
2.5714285714285712e-06,0.58704114009537112,-29.920699532349886,0.58704114009537112,0.57848356046651217,0,-0.0085575796288588357,283.25736968977276,0,1456.8396917378629,16.859753523163583,283.25736968977276,0,1000,-426.91899220551295
2.714285714285714e-06,0.62591999839405454,-36.339573878494647,0.62591999839405454,0.62591999839405454,0,0,264.63808068538106,0.59831528176871052,1553.5936397959599,15.724037163524208,265.23639596714975,0,1000,-517.25406591746525
2.8571428571428568e-06,0.66227350736307578,-42.229575183304746,0.66227350736307578,0.66227350736307578,0,0,243.85245758485087,2.3661085899358731,1643.3213639469138,14.391201935385727,246.21856617478673,0,1000,-601.09178876360909
2.9999999999999997e-06,0.69582507716757447,-47.56098840417954,0.69582507716757447,0.69582507716757447,0,0,220.9402620162009,5.2284567551001508,1724.5396099304478,12.868008320054976,226.16871877130106,0,1000,-676.97862152626828
3.1428571428571425e-06,0.72643414004415785,-52.263292730825583,0.72643414004415785,0.72643414004415785,0,0,196.11436239433934,9.057297625714595,1796.1740703762484,11.174604230428443,205.17166002005393,0,1000,-743.91077764542285
3.2857142857142853e-06,0.75397257111914628,-56.274288836881468,0.75397257111914628,0.75397257111914628,0,0,169.60865928299418,13.707503643924367,1857.2772066150842,9.333389023825049,183.31616292691854,0,1000,-801.00291777820269
3.4285714285714285e-06,0.77832522468227794,-59.540921616161839,0.77832522468227794,0.77832522468227794,0,0,141.67539095865334,19.019200971468315,1907.0407821651211,7.3687172164088421,160.69459193012165,0,1000,-847.49986054895919
3.5714285714285714e-06,0.79939041560074398,-62.019981964513548,0.79939041560074398,0.79939041560074398,0,0,112.58221265454485,24.820299911296779,1944.8065536105048,5.3065763359161249,137.40251256584162,0,1000,-882.78657164599133
3.7142857142857142e-06,0.81708034386098172,-63.678678324524753,0.81708034386098172,0.81708034386098172,0,0,82.60908636190797,30.929201397171653,1970.074977459534,3.1742431738624131,113.53828775907962,0,1000,-906.39629913500914
3.857142857142857e-06,0.83132146046593758,-64.495070433028616,0.83132146046593758,0.83132146046593758,0,0,52.045020511124982,37.157641934072934,1982.5118178132072,0.99992298412367275,89.202662445197916,0,1000,-918.01674738017857
3.9999999999999998e-06,0.84205477316319377,-64.458359534043694,0.84205477316319377,0.84205477316319377,0,0,21.184700788143054,43.313637488048023,1981.9525674417748,-1.1876235996383782,64.498338276191078,0,1000,-917.49420790773104
4.1428571428571426e-06,0.84980520753844102,-95.449182456463774,-3.2052497517481546,0.84980520753844102,-4.0550549592865961,0,0,58.219932830901399,1965.7188828927342,-3.3260519252830973,58.219932830901399,0,1000,-870.26970043627034
4.2857142857142855e-06,0.86033081398936961,-93.40111646755102,-3.1508393896465758,0.86033081398936961,-4.0111702036359453,0,0,92.539882309939856,1939.8038224917475,-5.3719351824917752,92.539882309939856,0,1000,-846.4027060241965
4.4285714285714283e-06,0.87567632473982371,-90.40535525575757,-3.0712266271521473,0.87567632473982371,-3.9469029518919712,0,0,125.67868956721222,1901.9062997862579,-7.3477794344576708,125.67868956721222,0,1000,-811.50094453050042
4.5714285714285711e-06,0.89564035263461284,-86.50093681421572,-2.967448195670535,0.89564035263461284,-3.8630885483051483,0,0,157.20194981903424,1852.5204164665279,-9.22782514507721,157.20194981903424,0,1000,-766.01947965231216
4.7142857142857139e-06,0.91996096035521757,-81.738740285704779,-2.8408555592360401,0.91996096035521757,-3.7608165195912582,0,0,186.69632252029234,1792.2900503179815,-10.987561830417942,186.69632252029234,0,1000,-710.55131003227666
4.8571428571428567e-06,0.94831907575727503,-76.180822589800584,-2.6930972939143532,0.94831907575727503,-3.641416369671628,0,0,213.77492041522837,1722.0004601826167,-12.604047618537789,213.77492041522837,0,1000,-645.81963759281598
4.9999999999999996e-06,0.98034265211958671,-155.18473860563492,-5.0107680873775911,0.98034265211958671,-5.9911107394971772,0,0,238.08235368509312,1642.568047642005,-14.056208357437292,238.08235368509312,1000,0,-1487.3833090363701
