time,Current: AML1,Current: AMD1,Current: AMD2,Current: AMIout,Voltage: VMSw1,Voltage: VMSw2,Voltage: VML1,Voltage: VMC1,Voltage: VMp,Voltage: VMD1,Voltage: VMS1,Voltage: VMD2,Voltage: VMS2,Voltage: VMout
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-07,0.2941175401210785,0.0,0.0,0.0,0.0,1000.0,999.3869018554688,0.6131203770637512,0.0,0.0,0.0,0.0,0.0,0.0
2e-07,1.8172706365585327,25.646026611328125,0.0,25.646026611328125,0.0,1000.0,910.4078369140625,5.0239434242248535,84.5682144165039,0.0,0.0012871954822912812,-2.475632667541504,-2.4743454456329346,0.0012871954822912812
3e-07,3.3287763595581055,51.095672607421875,0.0,51.095672607421875,0.0,1000.0,900.5184326171875,15.767045974731445,83.71456146240234,0.0,0.005132715683430433,-2.456421136856079,-2.4512884616851807,0.005132715683430433
4e-07,4.818949222564697,76.18560028076172,0.0,76.18560028076172,0.0,1000.0,884.8587646484375,32.77357864379883,82.3676528930664,0.0,0.011508166790008545,-2.426569938659668,-2.4150617122650146,0.011508166790008545
5e-07,6.278241157531738,100.7547836303711,0.0,100.7547836303711,0.0,1000.0,863.5293579101562,55.93455123901367,80.53605651855469,0.0,0.020368920639157295,-2.3862626552581787,-2.365893840789795,0.020368920639157295
6e-07,7.697301864624023,124.6455307006836,0.0,124.6455307006836,0.0,1000.0,836.6669921875,85.10154724121094,78.23145294189453,0.0,0.031654395163059235,-2.3357505798339844,-2.304096221923828,0.031654395163059235
7e-07,9.067038536071777,147.70449829101562,0.0,147.70449829101562,0.0,1000.0,804.4437866210938,120.0876693725586,75.46855926513672,0.0,0.04528845101594925,-2.2753498554229736,-2.2300612926483154,0.04528845101594925
8e-07,10.37867546081543,169.78367614746094,0.0,169.78367614746094,0.0,1000.0,767.0662841796875,160.66873168945312,72.26499938964844,0.0,0.06117986887693405,-2.205439805984497,-2.1442599296569824,0.06117986887693405
9e-07,11.623807907104492,190.7413330078125,0.0,190.7413330078125,0.0,1000.0,724.7740478515625,206.58468627929688,68.64126586914062,0.0,0.07922294735908508,-2.1264612674713135,-2.047238349914551,0.07922294735908508
1e-06,12.794458389282227,210.44293212890625,0.0,210.44293212890625,0.0,1000.0,677.8381958007812,257.54132080078125,64.62049865722656,0.0,0.09929817169904709,-2.038912296295166,-1.9396140575408936,0.09929817169904709
1.1e-06,13.883126258850098,228.76199340820312,0.0,228.76199340820312,0.0,1000.0,626.5594482421875,313.2121276855469,60.228416442871094,0.0,0.121272973716259,-1.943346381187439,-1.8220734596252441,0.121272973716259
1.2e-06,14.882837295532227,245.58087158203125,0.0,245.58087158203125,0.0,1000.0,571.2665405273438,373.2403869628906,55.49309539794922,0.0,0.1450026035308838,-1.8403682708740234,-1.6953656673431396,0.1450026035308838
1.2999999999999998e-06,15.787186622619629,260.79156494140625,0.0,260.79156494140625,0.0,1000.0,512.313720703125,437.241455078125,50.4448127746582,0.0,0.17033103108406067,-1.7306299209594727,-1.5602989196777344,0.17033103108406067
1.4e-06,16.59037971496582,274.2963562011719,0.0,274.2963562011719,0.0,1000.0,450.0788879394531,504.8052673339844,45.1158561706543,0.0,0.1970919668674469,-1.6148266792297363,-1.4177347421646118,0.1970919668674469
1.5e-06,17.28727149963379,286.00848388671875,0.0,286.00848388671875,0.0,1000.0,384.9607849121094,575.4989013671875,39.540306091308594,0.0,0.22510990500450134,-1.4936928749084473,-1.2685829401016235,0.22510990500450134
1.6e-06,17.87339973449707,295.8526306152344,0.0,295.8526306152344,0.0,1000.0,317.37677001953125,648.869384765625,33.75382995605469,0.0,0.2542012929916382,-1.3679965734481812,-1.113795280456543,0.2542012929916382
1.6999999999999998e-06,18.345006942749023,303.7655029296875,0.0,303.7655029296875,0.0,1000.0,247.75991821289062,724.4466552734375,27.793434143066406,0.0,0.2841756343841553,-1.2385352849960327,-0.9543596506118774,0.2841756343841553
1.8e-06,18.699073791503906,309.6961669921875,0.0,309.6961669921875,0.0,1000.0,176.5563507080078,801.7463989257812,21.697250366210938,0.0,0.3148367702960968,-1.1061304807662964,-0.7912936210632324,0.3148367702960968
1.9e-06,18.933334350585938,313.60638427734375,0.0,313.60638427734375,0.0,1000.0,104.22229766845703,880.2734375,15.5042724609375,0.0,0.3459841310977936,-0.9716223478317261,-0.6256382465362549,0.3459841310977936
2e-06,19.046287536621094,315.4708557128906,0.0,315.4708557128906,0.0,1000.0,31.221351623535156,959.5245361328125,9.254119873046875,0.0,0.3774140179157257,-0.835864782333374,-0.4584507942199707,0.3774140179157257
2.1e-06,19.03721046447754,315.27740478515625,0.0,315.27740478515625,0.0,1000.0,-41.97882080078125,1038.9920654296875,2.98675537109375,0.0,0.40892085433006287,-0.6997195482254028,-0.2907984256744385,0.40892085433006287
2.2e-06,18.906164169311523,313.02703857421875,0.0,313.02703857421875,0.0,1000.0,-114.90904235839844,1118.166748046875,-3.2577056884765625,0.0,0.44029858708381653,-0.5640501976013184,-0.12375187873840332,0.44029858708381653
2.3e-06,18.653989791870117,308.73394775390625,0.0,308.73394775390625,0.0,1000.0,-187.10203552246094,1196.5413818359375,-9.439338684082031,0.0,0.47134196758270264,-0.42971837520599365,0.041623592376708984,0.47134196758270264
2.4e-06,18.282304763793945,302.4254150390625,0.0,302.4254150390625,0.0,1000.0,-258.09515380859375,1273.61376953125,-15.518592834472656,0.0,0.5018478035926819,-0.29757624864578247,0.20427155494689941,0.5018478035926819
2.4999999999999998e-06,17.79349136352539,294.1416320800781,0.0,294.1416320800781,0.0,1000.0,-327.43365478515625,1348.8902587890625,-21.45660400390625,0.0,0.5316164493560791,-0.16846179962158203,0.36315464973449707,0.5316164493560791
2.5999999999999997e-06,17.190683364868164,283.9354553222656,0.0,283.9354553222656,0.0,1000.0,-394.67315673828125,1421.8885498046875,-27.215377807617188,0.0,0.5604528784751892,-0.0431939959526062,0.517258882522583,0.5604528784751892
2.7e-06,16.477745056152344,271.8720397949219,0.0,271.8720397949219,0.0,1000.0,-492.140869140625,1492.140869140625,0.0,0.0,0.5881679654121399,-0.5881679654121399,0.0,0.5881679654121399
2.8e-06,15.659246444702148,258.0284423828125,0.0,258.0284423828125,0.0,1000.0,-559.197265625,1559.197265625,0.0,0.0,0.6145798563957214,0.0,0.6145798563957214,0.6145798563957214
2.8999999999999998e-06,14.737151145935059,243.74484252929688,1.3201667070388794,245.06500244140625,0.0,1000.0,-581.9541015625,1622.6226806640625,-40.668556213378906,0.0,0.6396164298057556,0.0,0.6396164298057556,0.6396164298057556
3e-06,13.719254493713379,228.3987579345703,3.1989967823028564,231.59774780273438,0.0,1000.0,-637.4526977539062,1681.9996337890625,-44.54694366455078,0.0,0.6633256673812866,0.0,0.6633256673812866,0.6633256673812866
3.1e-06,12.612175941467285,212.06016540527344,5.594461441040039,217.65463256835938,0.0,1000.0,-688.8063354492188,1736.9420166015625,-48.13568115234375,0.0,0.685658872127533,0.0,0.685658872127533,0.685658872127533
3.2e-06,11.423112869262695,194.80441284179688,8.460114479064941,203.2645263671875,0.0,1000.0,-735.6813354492188,1787.0927734375,-51.41143035888672,0.0,0.7065701484680176,0.0,0.7065701484680176,0.7065701484680176
3.2999999999999997e-06,10.159797668457031,176.71185302734375,11.74545955657959,188.45730590820312,0.0,1000.0,-777.77294921875,1832.1258544921875,-54.35291290283203,0.0,0.7260165810585022,0.0,0.7260165810585022,0.7260165810585022
3.3999999999999996e-06,8.830443382263184,157.86732482910156,15.396344184875488,173.263671875,0.0,1000.0,-814.8075561523438,1871.74853515625,-56.94098663330078,0.0,0.7439582943916321,0.0,0.7439582943916321,0.7439582943916321
3.5e-06,7.4436936378479,138.3596954345703,19.35538101196289,157.71507263183594,0.0,1000.0,-846.5444946289062,1905.703369140625,-59.15885925292969,0.0,0.7603585124015808,0.0,0.7603585124015808,0.7603585124015808
3.6e-06,6.0085649490356445,118.28135681152344,23.562389373779297,141.84375,0.0,1000.0,-872.7774658203125,1933.76953125,-60.992088317871094,0.0,0.7751836776733398,0.0,0.7751836776733398,0.7751836776733398
3.6999999999999997e-06,4.534387588500977,97.72769927978516,27.954858779907227,125.68255615234375,0.0,1000.0,-893.3358764648438,1955.7646484375,-62.42876434326172,0.0,0.7884034514427185,0.0,0.7884034514427185,0.7884034514427185
3.8e-06,3.0307464599609375,76.79655456542969,32.46842575073242,109.26498413085938,0.0,1000.0,-908.0863037109375,1971.5458984375,-63.459571838378906,0.0,0.7999908328056335,0.0,0.7999908328056335,0.7999908328056335
