time,Current: AM1-source,Current: AMD1,Current: AMD4,Current: AMD3,Current: AMD2,Voltage: VMD1,Voltage: VMD4,Voltage: VMD3,Voltage: VMD2,Voltage: VM1-C1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-07,0.4189069172528883,0.4189069172528883,0.0,0.0,0.4189069172528883,0.0,-0.00837730061499626,-0.00837730061499626,0.0,0.00837730061499626
2e-07,0.5586075465008884,0.5586075465008884,0.0,0.0,0.5586075465008884,0.0,-0.01954665914903762,-0.01954665914903762,0.0,0.01954665914903762
3e-07,0.6052516564244992,0.6052516564244992,0.0,0.0,0.6052516564244992,0.0,-0.031646572954317276,-0.031646572954317276,0.0,0.031646572954317276
4e-07,0.6208808968369945,0.6208808968369945,0.0,0.0,0.6208808968369945,0.0,-0.04405662057170457,-0.04405662057170457,0.0,0.04405662057170457
5e-07,0.626173060328509,0.626173060328509,0.0,0.0,0.626173060328509,0.0,-0.05657001911430616,-0.05657001911430616,0.0,0.05657001911430616
6e-07,0.6280198254139044,0.6280198254139044,0.0,0.0,0.6280198254139044,0.0,-0.06911784683598922,-0.06911784683598922,0.0,0.06911784683598922
7e-07,0.6287181119454424,0.6287181119454424,0.0,0.0,0.6287181119454424,0.0,-0.0816771295772567,-0.0816771295772567,0.0,0.0816771295772567
8e-07,0.6290334577592702,0.6290334577592702,0.0,0.0,0.6290334577592702,0.0,-0.09424020699878452,-0.09424020699878452,0.0,0.09424020699878452
9e-07,0.6292210080787228,0.6292210080787228,0.0,0.0,0.6292210080787228,0.0,-0.10680452268739038,-0.10680452268739038,0.0,0.10680452268739038
1e-06,0.6293657999396185,0.6293657999396185,0.0,0.0,0.6293657999396185,0.0,-0.11936922131178282,-0.11936922131178282,0.0,0.11936922131178282
1.1e-06,0.6294961752087804,0.6294961752087804,0.0,0.0,0.6294961752087804,0.0,-0.131934014492378,-0.131934014492378,0.0,0.131934014492378
1.2e-06,0.6296215798831302,0.6296215798831302,0.0,0.0,0.6296215798831302,0.0,-0.1444988028083105,-0.1444988028083105,0.0,0.1444988028083105
1.2999999999999998e-06,0.6297451621761567,0.6297451621761567,0.0,0.0,0.6297451621761567,0.0,-0.1570635498165711,-0.1570635498165711,0.0,0.1570635498165711
1.4e-06,0.6298679713201416,0.6298679713201416,0.0,0.0,0.6298679713201416,0.0,-0.16962824006398586,-0.16962824006398586,0.0,0.16962824006398586
1.5e-06,0.6299903569803327,0.6299903569803327,0.0,0.0,0.6299903569803327,0.0,-0.1821928650930768,-0.1821928650930768,0.0,0.1821928650930768
1.6e-06,0.6301124356641097,0.6301124356641097,0.0,0.0,0.6301124356641097,0.0,-0.19475741877797192,-0.19475741877797192,0.0,0.19475741877797192
1.6999999999999998e-06,0.630234246170005,0.630234246170005,0.0,0.0,0.630234246170005,0.0,-0.2073218957699172,-0.2073218957699172,0.0,0.2073218957699172
1.8e-06,0.6303558013971049,0.6303558013971049,0.0,0.0,0.6303558013971049,0.0,-0.21988629097918438,-0.21988629097918438,0.0,0.21988629097918438
1.9e-06,0.6304771056125702,0.6304771056125702,0.0,0.0,0.6304771056125702,0.0,-0.2324505994023976,-0.2324505994023976,0.0,0.2324505994023976
2e-06,0.6305981602067057,0.6305981602067057,0.0,0.0,0.6305981602067057,0.0,-0.24501481606498504,-0.24501481606498504,0.0,0.24501481606498504
2.1e-06,0.6307189656110594,0.6307189656110594,0.0,0.0,0.6307189656110594,0.0,-0.25757893600199955,-0.25757893600199955,0.0,0.25757893600199955
2.2e-06,0.6308395219376912,0.6308395219376912,0.0,0.0,0.6308395219376912,0.0,-0.2701429542517281,-0.2701429542517281,0.0,0.2701429542517281
2.3e-06,0.6309598291922498,0.6309598291922498,0.0,0.0,0.6309598291922498,0.0,-0.2827068658535626,-0.2827068658535626,0.0,0.2827068658535626
2.4e-06,0.6310798873449919,0.6310798873449919,0.0,0.0,0.6310798873449919,0.0,-0.2952706658472924,-0.2952706658472924,0.0,0.2952706658472924
2.4999999999999998e-06,0.6311996963544395,0.6311996963544395,0.0,0.0,0.6311996963544395,0.0,-0.30783434927286907,-0.30783434927286907,0.0,0.30783434927286907
2.5999999999999997e-06,0.6313192561752459,0.6313192561752459,0.0,0.0,0.6313192561752459,0.0,-0.3203979111703297,-0.3203979111703297,0.0,0.3203979111703297
2.7e-06,0.6314385667608846,0.6314385667608846,0.0,0.0,0.6314385667608846,0.0,-0.3329613465797724,-0.3329613465797724,0.0,0.3329613465797724
2.8e-06,0.6315576280644706,0.6315576280644706,0.0,0.0,0.6315576280644706,0.0,-0.3455246505413497,-0.3455246505413497,0.0,0.3455246505413497
2.8999999999999998e-06,0.6316764400390653,0.6316764400390653,0.0,0.0,0.6316764400390653,0.0,-0.3580878180952673,-0.3580878180952673,0.0,0.3580878180952673
3e-06,0.6317950026378014,0.6317950026378014,0.0,0.0,0.6317950026378014,0.0,-0.3706508442817855,-0.3706508442817855,0.0,0.3706508442817855
3.1e-06,0.6319133158138683,0.6319133158138683,0.0,0.0,0.6319133158138683,0.0,-0.3832137241412204,-0.3832137241412204,0.0,0.3832137241412204
3.2e-06,0.632031379520555,0.632031379520555,0.0,0.0,0.632031379520555,0.0,-0.39577645271394596,-0.39577645271394596,0.0,0.39577645271394596
3.2999999999999997e-06,0.6321491937112711,0.6321491937112711,0.0,0.0,0.6321491937112711,0.0,-0.4083390250403959,-0.4083390250403959,0.0,0.4083390250403959
3.3999999999999996e-06,0.6322667583394974,0.6322667583394974,0.0,0.0,0.6322667583394974,0.0,-0.42090143616106546,-0.42090143616106546,0.0,0.42090143616106546
3.5e-06,0.6323840733588142,0.6323840733588142,0.0,0.0,0.6323840733588142,0.0,-0.43346368111651395,-0.43346368111651395,0.0,0.43346368111651395
3.6e-06,0.6325011387229154,0.6325011387229154,0.0,0.0,0.6325011387229154,0.0,-0.4460257549473659,-0.4460257549473659,0.0,0.4460257549473659
3.6999999999999997e-06,0.6326179543855872,0.6326179543855872,0.0,0.0,0.6326179543855872,0.0,-0.45858765269431345,-0.45858765269431345,0.0,0.45858765269431345
3.8e-06,0.6327345203007084,0.6327345203007084,0.0,0.0,0.6327345203007084,0.0,-0.47114936939811836,-0.47114936939811836,0.0,0.47114936939811836
3.9e-06,0.6328508364222571,0.6328508364222571,0.0,0.0,0.6328508364222571,0.0,-0.4837109000996137,-0.4837109000996137,0.0,0.4837109000996137
4e-06,0.6329669027043252,0.6329669027043252,0.0,0.0,0.6329669027043252,0.0,-0.49627223983970625,-0.49627223983970625,0.0,0.49627223983970625
