time,Vo,Io,VC1,ILr
0.0,0.0,0.0,0.0,0.0
3.1554436208840472e-30,0.0,0.0,0.0,0.0
6.310887241768095e-30,0.0,0.0,-8.604299012160889e-26,-2.020862588394957e-22
2.775557561376722e-22,1.683157429493759e-21,6.732629717975036e-21,-1.6403909553986048e-18,-1.7768671108340824e-14
2.775557602739729e-22,1.6831574545778409e-21,6.7326298183113635e-21,-1.6403909798446153e-18,-1.776867137314012e-14
2.775557634294165e-22,1.6831574737131259e-21,6.7326298948525034e-21,-1.6403909984937008e-18,-1.7768671575146526e-14
5.551114612485068e-22,3.2691122159124417e-22,1.3076448863649767e-21,-2.9630195125484513e-19,-3.9308304544666085e-22
5.551114648310736e-22,3.2691120408454097e-22,1.3076448163381639e-21,-2.9630193390542724e-19,-1.637328550648194e-22
5.551114689669767e-22,3.2691120408454097e-22,1.3076448163381639e-21,-2.9630193390542724e-19,1.010185701553368e-22
8.326672292409496e-22,3.26911204129762e-22,1.307644816519048e-21,-2.9630193386433238e-19,1.776716739438853e-14
2.2204460306108138e-21,3.269112057124992e-22,1.3076448228499967e-21,-2.963019324260133e-19,1.0660300386123832e-13
9.159340037460135e-21,3.2691124754198135e-22,1.3076449901679254e-21,-2.963018944132953e-19,5.507821861954871e-13
4.3853810071706743e-20,3.269123045843006e-22,1.3076492183372025e-21,-2.9630093382163894e-19,2.7716780978667265e-12
2.1732616024293978e-19,3.2693878716860613e-22,1.3077551486744245e-21,-2.9627686766169287e-19,1.3876157656222815e-11
1.084687911099105e-18,3.2760113440786774e-22,1.310404537631471e-21,-2.956749568203585e-19,6.939855544800057e-11
5.421496665379931e-18,3.4416122854752385e-22,1.3766449141900954e-21,-2.8062590157358656e-19,3.4701054440682214e-10
2.7105540436784062e-17,7.5817064782914815e-22,3.0326825913165926e-21,9.560690066249334e-20,1.7350704891992482e-09
1.355257592938047e-16,1.110844145877645e-20,4.44337658351058e-20,9.501459061863067e-18,8.675370213119341e-09
6.77626853578908e-16,2.6986538837144065e-19,1.0794615534857626e-18,2.4464792361395415e-16,4.3376868831668884e-08
3.3881323250044244e-15,6.738789943688985e-18,2.695515977475594e-17,6.123310339474596e-15,2.1688436189814354e-07
1.6940659682132007e-14,1.6846190815238578e-16,6.738476326095431e-16,1.530898746772801e-13,1.0844218265736883e-06
8.470329646776991e-14,4.21153987415528e-15,1.684615949662112e-14,3.827253994203565e-12,5.422109133530702e-06
4.235164803959595e-13,1.0528848772273769e-13,4.2115395089095075e-13,9.568135595960105e-11,2.711054525779673e-05
2.1175824000369074e-12,2.6322120080008327e-12,1.052884803200333e-11,2.3920337652082698e-09,0.0001355527156159942
1.0587911998241646e-11,6.580527795549329e-11,2.6322111182197317e-10,5.98008264493117e-08,0.0006777633108090731
