time,Current: AMS1,Current: AMS2,Current: AMLr,Current: AMD1,Current: AMD2,Current: AMOut,Voltage: VMLp,Voltage: VMCr,Voltage: VMD1,Voltage: VMD2,Voltage: VMout
0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0
3.3333333333333335e-07,2.438303232192993,0.0,2.438303232192993,-0.0018429902847856283,0.0018429902847856283,-1.1074705041913546e-10,600.0,6.896313667297363,0.0,-28.662126541137695,-2.7686762604783866e-11
6.666666666666667e-07,23.050987243652344,0.0,23.050987243652344,378.0311279296875,0.006953640375286341,0.2805437743663788,600.0,84.14274597167969,0.0,-10.196365356445312,0.0701359435915947
1.0000000000000002e-06,38.628570556640625,0.0,38.628570556640625,663.5064086914062,0.011546734720468521,1.0218181610107422,600.0,266.28045654296875,0.0,-6.929826736450195,0.25545454025268555
1.3333333333333334e-06,45.95974349975586,0.0,45.95974349975586,797.3764038085938,0.013720465824007988,2.0504419803619385,600.0,514.1009521484375,0.0,-2.4893381595611572,0.5126104950904846
1.6666666666666667e-06,43.59480285644531,0.0,43.59480285644531,752.9856567382812,0.013016180135309696,3.134288787841797,600.0,775.0491943359375,0.0,0.0,0.7835721969604492
2.0000000000000003e-06,30.234073638916016,0.0,30.234073638916016,597.2353515625,95.10891723632812,4.0980963706970215,600.0,990.2822875976562,0.0,0.0,1.0245240926742554
2.3333333333333336e-06,9.426412582397461,0.0,9.426412582397461,363.89276123046875,252.42787170410156,4.9689860343933105,600.0,1103.605712890625,0.0,0.0,1.2422465085983276
2.666666666666667e-06,-13.454975128173828,0.0,-13.454975128173828,104.2585678100586,422.3892517089844,5.727649688720703,600.0,1087.8795166015625,0.0,0.0,1.4319124221801758
3e-06,-32.59254837036133,0.0,-32.59254837036133,-126.04421997070312,551.3922729492188,6.35731315612793,600.0,949.0045776367188,0.0,0.0,1.5893282890319824
3.3333333333333333e-06,-38.056602478027344,0.0,-38.056602478027344,0.04735889285802841,769.2243041992188,7.325679302215576,600.0,748.92822265625,-5.8336052894592285,0.0,1.831419825553894
3.666666666666667e-06,-37.916893005371094,0.0,-37.916893005371094,0.011149516329169273,763.5860595703125,8.3839693069458,600.0,527.2581787109375,-1.9119503498077393,0.0,2.09599232673645
4.000000000000001e-06,-29.819400787353516,0.0,-29.819400787353516,0.008758777752518654,611.6304931640625,9.32579231262207,600.0,330.7428894042969,0.0,0.0,2.3314480781555176
4.333333333333334e-06,-14.2623291015625,0.0,-14.2623291015625,64.96228790283203,384.501708984375,10.023475646972656,600.0,203.50982666015625,0.0,0.0,2.505868911743164
4.666666666666667e-06,4.6697282791137695,0.0,4.6697282791137695,156.69981384277344,120.79193115234375,10.496333122253418,600.0,178.44454956054688,0.0,0.0,2.6240832805633545
5e-06,0.0,22.13860321044922,22.13860321044922,231.7303466796875,-132.15374755859375,10.734136581420898,600.0,260.3629455566406,0.0,0.0,2.6835341453552246
5.333333333333334e-06,0.0,-17.761417388916016,-17.761417388916016,-232.767333984375,152.4670867919922,10.73192310333252,600.0,266.52850341796875,0.0,0.0,2.68298077583313
5.666666666666667e-06,0.0,-40.51358413696289,-40.51358413696289,0.07875268906354904,787.5733642578125,11.486295700073242,600.0,105.93168640136719,-18.397357940673828,0.0,2.8715739250183105
6e-06,0.0,-59.041133880615234,-59.041133880615234,0.017471645027399063,1122.6514892578125,12.816676139831543,600.0,-187.1551971435547,-13.17676067352295,0.0,3.2041690349578857
6.333333333333333e-06,0.0,-64.99651336669922,-64.99651336669922,0.019262030720710754,1226.612548828125,14.445018768310547,600.0,-549.9051513671875,-6.726803302764893,0.0,3.6112546920776367
6.666666666666667e-06,0.0,-57.26594924926758,-57.26594924926758,0.01697142980992794,1078.916748046875,16.032365798950195,600.0,-905.5513305664062,-0.40217646956443787,0.0,4.008091449737549
7.000000000000001e-06,0.0,-37.61386489868164,-37.61386489868164,0.011143735609948635,712.0105590820312,17.250377655029297,600.0,-1179.6259765625,0.0,0.0,4.312594413757324
7.333333333333334e-06,0.0,-7.688920974731445,-7.688920974731445,133.29344177246094,283.4552917480469,17.982223510742188,600.0,-1308.032958984375,0.0,0.0,4.495555877685547
7.666666666666667e-06,0.0,23.73443031311035,23.73443031311035,276.2065124511719,-163.6016082763672,18.311492919921875,600.0,-1255.466552734375,0.0,0.0,4.577873229980469
8.000000000000001e-06,0.0,38.388221740722656,38.388221740722656,693.8623046875,0.05837087705731392,19.04556655883789,600.0,-1081.04248046875,0.0,-17.00900650024414,4.761391639709473
8.333333333333334e-06,0.0,48.021488189697266,48.021488189697266,862.9485473632812,0.014307143166661263,20.11664390563965,600.0,-827.578857421875,0.0,-12.464303970336914,5.029160976409912
8.666666666666668e-06,0.0,47.499568939208984,47.499568939208984,845.3729248046875,0.014174350537359715,21.28649139404297,600.0,-548.9623413085938,0.0,-7.479071140289307,5.321622848510742
9e-06,0.0,37.04082107543945,37.04082107543945,645.1102294921875,0.011079314164817333,22.296632766723633,600.0,-303.7827453613281,0.0,-3.0863709449768066,5.574158191680908
