time,V_D2,VS1,VS2,Vp,Vo,Io,VC1,I_D2,ILr,I_D1,V_D1
5.0000000268835226e-06,2.7601798346271046e-09,-0.9938682001011321,2.760179966662269e-09,34.11405175614163,1.320351644620157e-16,2.7601798346271044e-06,5.493731834870007e-14,2.7601798346271044e-06,1.639377128705915e-07,0.0,-0.9938682001011322
5.000000134417002e-06,1.3800893214381008e-08,-0.993868210406626,1.3800894236851078e-08,34.11405192058526,1.0224700700806833e-15,1.3800893214381008e-05,2.258534094195154e-12,1.3800893214381008e-05,8.196875320197029e-07,0.0,-0.993868210406627
5.0000006720844e-06,6.90044599906363e-08,-0.9938682619340029,6.900448327397578e-08,34.114052742799906,2.3283339468311664e-14,6.90044599906363e-05,5.73484303018475e-11,6.90044599906363e-05,4.098436621581368e-06,0.0,-0.9938682619340261
5.000003360421391e-06,3.4502229080870073e-07,-0.993868519568569,3.4502287061375397e-07,34.11405685378601,5.798050532231996e-13,0.00034502229080870075,1.4345957114955737e-09,0.00034502229080870075,2.0492181914771264e-05,0.0,-0.9938685195691488
5.000016802106345e-06,1.7251113682741513e-06,-0.9938698076834415,1.7251258611213183e-06,34.114077406537604,1.4492847167134168e-11,0.0017251113682741513,3.586577611386999e-08,0.0017251113682741513,0.000102460904512617,0.0,-0.9938698076979343
5.000084010531115e-06,8.62555483440832e-06,-0.9938762468088412,8.625917153226537e-06,34.11418011582293,3.623188182184375e-10,0.008625554834408319,8.966451517250529e-07,0.008625554834408319,0.0005123044204688813,0.0,-0.99387624717116
5.000420052654965e-06,4.3127723438840336e-05,-0.9939084062111578,4.3136781396662485e-05,34.11469230042415,9.057957822145005e-09,0.04312772343884034,2.2416112846078473e-05,0.04312772343884034,0.002561519533129812,0.0,-0.9939084152691157
5.002100263274213e-06,0.00021563726125434964,-0.9940682975285549,0.00021586370884358667,34.11721917666177,2.2644758923703715e-07,0.21563726125434962,0.0005604005719963404,0.21563726125434962,0.012807528256431628,0.0,-0.9940685239761441
5.010501316370455e-06,0.0010781414393907643,-0.9948451023116236,0.0010838024223839074,34.12900225424763,5.66098299314305e-06,1.0781414393907642,0.014009640442459552,1.0781414393907642,0.06403525565468998,0.0,-0.9948507632946167
5.04449072276296e-06,0.004566196348974223,-0.9976019682503345,0.004667782297218975,34.16218481641308,0.00010158594824475256,4.5661963489742226,0.2514118955052473,4.5661963489742226,0.271210045855254,0.0,-0.9977035541985793
5.10873754743842e-06,0.011145272849400806,-1.0011175329089845,0.011751589223918422,34.161406562408594,0.000606316374517615,11.145272849400806,1.5006573204686893,11.145272849400806,0.6619986336609092,0.0,-1.001723849283502
5.1980717234838806e-06,0.020234948853538385,-1.0023094142774818,0.02224303564943781,34.0224467098916,0.0020080867958994237,20.234948853538384,4.970570133560402,20.234948853538384,1.2019619452047388,0.0,-1.0043175010733811
5.307048788285557e-06,0.03117014143052972,-0.9979407435606565,0.03597943985566547,33.63699037859673,0.004809298425135746,31.17014143052972,11.905751698323373,31.17014143052972,1.851638857021018,0.0,-1.0027500419857922
5.416025853087234e-06,0.04186035819824689,-0.9872097032430953,0.05064881822987699,33.01715336979331,0.008788460031630103,41.86035819824689,21.759056925856505,41.86035819824689,2.486860613877107,0.0,-0.9959981632747253
5.556581020359255e-06,0.055152918924007255,-0.964122853681623,0.07075955718941661,31.87991969250865,0.015606638265409352,55.15291892400725,38.6461565014284,55.15291892400725,3.276879253102392,0.0,-0.9797294919470323
5.697136187631276e-06,0.06773621166684914,-0.9309002561561803,0.0919782361837802,30.37578622319245,0.024242024516931065,67.73621166684913,60.039560610877295,67.73621166684913,4.024949866850674,0.0,-0.9551422806731114
5.837691354903297e-06,0.07945194208851791,-0.8879676571231306,0.11403516708173163,28.5239901742272,0.034583224993213715,79.45194208851791,85.66594458214021,79.45194208851791,4.72167938858034,0.0,-0.9225508821163444
6.01723008953961e-06,0.0929185810737884,-0.8199113329811529,0.14297364267148985,25.691853598568613,0.05005506159770144,92.9185810737884,124.01940969246307,92.9185810737884,5.522929478813351,0.0,-0.8699663945788543
6.196768824175923e-06,0.10445619457260905,-0.7383353670064277,0.1722234454019013,22.390324218674195,0.06776725082929225,104.45619457260905,167.9443256281056,104.45619457260905,6.209927872113635,0.0,-0.8061026178357199
6.376307558812236e-06,0.11382931121155741,-0.6449261224660803,0.2011805312990344,18.68764168154722,0.08735122008747698,113.82931121155741,216.53287684258746,113.82931121155741,6.768689540730604,0.0,-0.7322773425535573
6.5932411688292115e-06,0.12199583658966986,-0.519089778774589,0.23491449549942747,13.79001724272403,0.11291865890975761,121.99583658966986,280.00226209982503,121.99583658966986,7.256633877917748,0.0,-0.6320084376843466
6.810174778846187e-06,0.12648791760997202,-0.38259277837233063,0.26633682624696176,8.566102650031375,0.13984890863698976,126.48791760997203,346.9018653868526,126.48791760997203,7.5267729830936325,0.0,-0.5224416870093204
7.0271083888631625e-06,0.1271747974835069,-0.2395281283251256,0.29450398886692564,3.1725648492742486,0.1673291913834187,127.17479748350691,415.22510435157864,127.17479748350691,7.571304014773311,0.0,-0.4068573197085442
7.244041998880138e-06,0.12403971576266806,-0.09417986855801697,0.31857079793077936,-2.2290582507212306,0.19453108216811127,124.03971576266807,482.9253669228674,124.03971576266807,7.389182489915644,0.0,-0.2887109507261283
7.518801804768315e-06,0.11475590879778795,0.08627268195121562,0.34203964837832146,-8.825367680530647,0.2272837395805335,114.75590879778795,564.5621636286445,114.75590879778795,6.8433566769640874,0.0,-0.14101105762931798
7.793561610656492e-06,0.09996709607664138,0.25480710842324883,0.35667135567242303,-14.86108478073696,0.25670425959578164,99.96709607664138,638.0626522207829,99.96709607664138,5.97089035203822,0.0,-0.0018971511725327517
7.797475282051444e-06,0.09971825143968173,0.2570942802443581,0.3568125316840406,-14.942011254555823,0.2570942802443589,99.71825143968172,639.0385084169426,99.71825143968172,5.9561964147161985,0.0,-6.661338147750939e-16
7.797475282051552e-06,0.09971825143967482,0.25709428024436964,0.3568125316840445,-14.942011254557642,0.25709428024436964,99.71825143967482,639.0385084169694,99.71825143967482,5.95619641471579,0.0,0.0
7.79747528205166e-06,0.09971825143966795,0.2570942802443804,0.35681253168404836,-14.942011254559468,0.2570942802443804,99.71825143966795,639.0385084169964,99.71825143966795,5.956196414715384,5.827841545031663e-17,5.827841545031663e-20
