"Time / s","AMI0:Measured current","Vmout:Measured voltage","Vsw1:Measured voltage","Vsw2:Measured voltage","VL1:Measured voltage","VC1:Measured voltage","Vp:Measured voltage","Vs1:Measured voltage","Vs2:Measured voltage","VD1:Measured voltage","VD2:Measured voltage","AM_D1:Measured current","AM_D2:Measured current","AML1:Measured current","Clock"
0,0,0,0,1000,914.71484375,0,85.285125732421875,0,-2.4846704006195068,0,-2.4846704006195068,0,0,0,0
3.3333333333333335e-07,84.548919677734375,0.014172397553920746,0,1000,882.40704345703125,35.081489562988281,82.511466979980469,0.014172397553920746,-2.4109423160552979,0,-2.425114631652832,84.548919677734375,0,5.0217776298522949,3.3333333333333335e-07
6.6666666666666671e-07,163.11552429199219,0.055673681199550629,0,1000,787.76605224609375,137.84770202636719,74.386184692382813,0.055673681199550629,-2.1949522495269775,0,-2.2506258487701416,163.11552429199219,0,9.6888160705566406,6.6666666666666671e-07
1.0000000000000002e-06,230.14015197753906,0.1215476468205452,0,1000,637.477783203125,301.03924560546875,61.482894897460938,0.1215476468205452,-1.8519344329833984,0,-1.9734821319580078,230.14015197753906,0,13.671438217163086,1.0000000000000002e-06
1.3333333333333334e-06,280.8785400390625,0.20711320638656616,0,1000,442.15902709960938,513.1282958984375,44.712635040283203,0.20711320638656616,-1.4060934782028198,0,-1.6132066249847412,280.8785400390625,0,16.688314437866211,1.3333333333333334e-06
1.6666666666666667e-06,311.73687744140625,0.30629503726959229,0,1000,215.607421875,759.1329345703125,25.259578704833984,0.30629503726959229,-0.88889396190643311,0,-1.1951889991760254,311.73687744140625,0,18.526338577270508,1.6666666666666667e-06
2.0000000000000003e-06,320.52569580078125,0.41205281019210815,0,1000,-26.17303466796875,1021.6756591796875,4.4973526000976563,0.41205281019210815,-0.3368377685546875,0,-0.74889039993286133,320.52569580078125,0,19.055683135986328,2.0000000000000003e-06
2.3333333333333336e-06,306.61465454101563,0.51687848567962646,0,1000,-266.1029052734375,1282.2109375,-16.1080322265625,0.51687848567962646,0.21111464500427246,0,-0.30576395988464355,306.61465454101563,0,18.238962173461914,2.3333333333333336e-06
2.6666666666666668e-06,270.97689819335938,0.61332672834396362,0,1000,-488.047119140625,1522.3348388671875,-34.287651062011719,0.61332672834396362,0.61332672834396362,0,0,270.97689819335938,0,16.133878707885742,2.6666666666666668e-06
3.0000000000000001e-06,225.80905151367188,0.69582682847976685,0,1000,-677.4251708984375,1725.017578125,-47.592361450195313,0.69582682847976685,0.69582682847976685,0,0,220.83636474609375,4.9726943969726563,12.876863479614258,3.0000000000000001e-06
3.3333333333333333e-06,175.50045776367188,0.76233172416687012,0,1000,-818.2567138671875,1875.7431640625,-57.4864501953125,0.76233172416687012,0.76233172416687012,0,0,160.31794738769531,15.18250846862793,8.6970491409301758,3.3333333333333333e-06
3.666666666666667e-06,121.20690155029297,0.81132924556732178,0,1000,-900.44921875,1963.7100830078125,-63.2608642578125,0.81132924556732178,0.81132924556732178,0,0,92.533828735351563,28.673070907592773,3.8939740657806396,3.666666666666667e-06
4.0000000000000007e-06,64.174812316894531,0.84170925617218018,0,1000,-918.1124267578125,1982.6142578125,-64.501800537109375,0.84170925617218018,0.84170925617218018,0,0,21.019439697265625,43.155372619628906,-1.1881558895111084,4.0000000000000007e-06
4.3333333333333339e-06,56.202102661132813,0.85278880596160889,0,1000,-838.558349609375,1931.10107421875,-92.542739868164063,-3.1220648288726807,0.85278880596160889,-3.9748532772064209,0,0,56.202102661132813,-6.0596885681152344,4.3333333333333339e-06
4.6666666666666672e-06,129.82279968261719,0.88346743583679199,0,1000,-732.5889892578125,1815.76806640625,-83.179046630859375,-2.8645889759063721,0.88346743583679199,-3.748056173324585,0,0,129.82279968261719,-10.450016021728516,4.6666666666666672e-06
5.0000000000000004e-06,191.02308654785156,0.93672174215316772,1000,0,-1489.5865478515625,1644.2421875,-154.65571594238281,-4.9735674858093262,0.93672174215316772,-5.9102892875671387,0,0,191.02308654785156,-14.103507995605469,5.0000000000000004e-06
5.3333333333333337e-06,319.999755859375,1.0218154191970825,1000,0,-1258.954345703125,1393.539306640625,-134.58500671386719,-4.4313364028930664,1.0218154191970825,-5.4531517028808594,0,0,319.999755859375,-21.783876419067383,5.3333333333333337e-06
5.6666666666666669e-06,423.05474853515625,1.1457396745681763,1000,0,-939.39227294921875,1046.268798828125,-106.87653350830078,-3.6859846115112305,1.1457396745681763,-4.8317241668701172,0,0,423.05474853515625,-27.926811218261719,5.6666666666666669e-06
6.0000000000000002e-06,492.87057495117188,1.2985517978668213,1000,0,-553.47491455078125,626.94256591796875,-73.467681884765625,-2.7889883518218994,1.2985517978668213,-4.0875401496887207,0,0,492.87057495117188,-32.098392486572266,6.0000000000000002e-06
6.3333333333333334e-06,524.4781494140625,1.468256950378418,1000,0,-128.46403503417969,165.16233825683594,-36.698295593261719,-1.8025254011154175,1.468256950378418,-3.270782470703125,0,0,524.4781494140625,-34.003959655761719,6.3333333333333334e-06
6.6666666666666666e-06,515.60791015625,1.641655445098877,1000,0,305.6170654296875,-306.47164916992188,0.854583740234375,-0.79508101940155029,1.641655445098877,-2.4367365837097168,0,0,515.60791015625,-33.508926391601563,6.6666666666666666e-06
7.0000000000000007e-06,466.85012817382813,1.8052752017974854,1000,0,718.1044921875,-754.66326904296875,36.55877685546875,0.16338872909545898,1.8052752017974854,-1.6418865919113159,0,0,466.85012817382813,-30.648290634155273,7.0000000000000007e-06
7.333333333333334e-06,381.61312866210938,1.9463237524032593,1000,0,1079.8599853515625,-1147.7728271484375,67.912918090820313,1.0063989162445068,1.9463237524032593,-0.93992495536804199,0,0,381.61312866210938,-25.624155044555664,7.333333333333334e-06
7.6666666666666672e-06,265.88262939453125,2.0535922050476074,1000,0,1365.3289794921875,-1458.0521240234375,92.723091125488281,1.6756323575973511,2.0535922050476074,-0.3779597282409668,0,0,265.88262939453125,-18.791450500488281,7.6666666666666672e-06
8.0000000000000013e-06,127.79877471923828,2.1182467937469482,1000,0,1554.400390625,-1663.6044921875,109.20407104492188,2.1182467937469482,2.1182467937469482,0,0,0,127.79877471923828,-10.632866859436035,8.0000000000000013e-06
8.3333333333333337e-06,2.0412139892578125,2.1349418163299561,1000,0,1567.7845458984375,-1749.9052734375,182.12081909179688,2.1349418163299561,-6.3722171783447266,0,-8.5071582794189453,2.0412139892578125,0,-1.7718424797058105,8.3333333333333337e-06
8.6666666666666678e-06,147.26681518554688,2.1584250926971436,1000,0,1534.668701171875,-1714.0972900390625,179.4285888671875,2.1584250926971436,-6.3055124282836914,0,-8.4639377593994141,147.26681518554688,0,6.8974785804748535,8.6666666666666678e-06
9.0000000000000002e-06,284.25982666015625,2.229194164276123,1000,0,1393.1478271484375,-1560.572998046875,167.42515563964844,2.229194164276123,-5.9911561012268066,0,-8.2203502655029297,284.25982666015625,0,15.078803062438965,9.0000000000000002e-06
9.3333333333333343e-06,403.27459716796875,2.3428232669830322,1000,0,1153.2197265625,-1300.1878662109375,146.96815490722656,2.3428232669830322,-5.4519243240356445,0,-7.7947473526000977,403.27459716796875,0,22.19422721862793,9.3333333333333343e-06
9.6666666666666667e-06,495.83529663085938,2.491835355758667,1000,0,831.83343505859375,-951.345458984375,119.51200866699219,2.491835355758667,-4.7264537811279297,0,-7.2182893753051758,495.83529663085938,0,27.741146087646484,9.6666666666666667e-06
1.0000000000000001e-05,555.334716796875,2.6662309169769287,0,1000,1366.4072265625,-538.69744873046875,172.29022216796875,2.6662309169769287,-6.3511857986450195,0,-9.0174169540405273,555.334716796875,0,31.327754974365234,1.0000000000000001e-05
1.0333333333333333e-05,662.0498046875,2.8683664798736572,0,1000,922.05731201171875,-56.321090698242188,134.26376342773438,2.8683664798736572,-5.3442974090576172,0,-8.2126646041870117,662.0498046875,0,37.722507476806641,1.0333333333333333e-05
1.0666666666666667e-05,723.8145751953125,3.0986008644104004,0,1000,412.58047485351563,496.78134155273438,90.638153076171875,3.0986008644104004,-4.1883206367492676,0,-7.286921501159668,723.8145751953125,0,41.451938629150391,1.0666666666666667e-05
1.1000000000000001e-05,736.18719482421875,3.3411023616790771,0,1000,-126.0330810546875,1081.530517578125,44.502479553222656,3.3411023616790771,-2.965343713760376,0,-6.3064460754394531,736.18719482421875,0,42.252647399902344,1.1000000000000001e-05
1.1333333333333334e-05,698.21478271484375,3.5791459083557129,0,1000,-655.7349853515625,1656.6123046875,-0.87738037109375,3.5791459083557129,-1.7621598243713379,0,-5.3413057327270508,698.21478271484375,0,40.068111419677734,1.1333333333333334e-05
1.1666666666666668e-05,612.50067138671875,3.7962954044342041,0,1000,-1139.107177734375,2181.396484375,-42.289375305175781,3.7962954044342041,-0.6641380786895752,0,-4.4604330062866211,612.50067138671875,0,35.052696228027344,1.1666666666666668e-05
1.2e-05,485.0206298828125,3.9775638580322266,0,1000,-1542.003662109375,2618.805908203125,-76.802215576171875,3.9775638580322266,0.25080752372741699,0,-3.7267563343048096,485.0206298828125,0,27.560745239257813,1.2e-05
1.2333333333333334e-05,324.70065307617188,4.110471248626709,0,1000,-1835.9638671875,2937.936279296875,-101.97239685058594,4.110471248626709,0.91772317886352539,0,-3.1927483081817627,324.70065307617188,0,18.12153434753418,1.2333333333333334e-05
1.2666666666666667e-05,142.78643798828125,4.1859292984008789,0,1000,-2000.222900390625,3116.239990234375,-116.01692199707031,4.1859292984008789,1.2892024517059326,0,-2.8967263698577881,142.78643798828125,0,7.4019031524658203,1.2666666666666667e-05
1.3000000000000001e-05,0,4.1988797187805176,0,1000,-1893.84521484375,3141.116943359375,-247.27175903320313,-9.3012046813964844,4.1988797187805176,-13.500085830688477,0,0,0,-3.7217257022857666,1.3000000000000001e-05
1.3333333333333333e-05,171.41047668457031,4.2248225212097168,0,1000,-1780.2783203125,3017.398193359375,-237.11993408203125,-9.0184030532836914,4.2248225212097168,-13.243226051330566,0,0,171.41047668457031,-13.988487243652344,1.3333333333333333e-05
1.3666666666666667e-05,326.19998168945313,4.305422306060791,0,1000,-1540.9599609375,2757.12353515625,-216.16366577148438,-8.4481277465820313,4.305422306060791,-12.75355052947998,0,0,326.19998168945313,-23.2691650390625,1.3666666666666667e-05
1.4000000000000001e-05,453.31356811523438,4.4332165718078613,0,1000,-1192.796630859375,2378.650390625,-185.85366821289063,-7.6289176940917969,4.4332165718078613,-12.0621337890625,0,0,453.31356811523438,-30.908214569091797,1.4000000000000001e-05
1.4333333333333334e-05,543.6522216796875,4.5973701477050781,0,1000,-760.383544921875,1908.6842041015625,-148.3006591796875,-6.616851806640625,4.5973701477050781,-11.214221954345703,0,0,543.6522216796875,-36.366065979003906,1.4333333333333334e-05
1.4666666666666668e-05,590.71514892578125,4.7844414710998535,0,1000,-274.2667236328125,1380.39306640625,-106.1263427734375,-5.4815959930419922,4.7844414710998535,-10.266037940979004,0,0,590.71514892578125,-39.257228851318359,1.4666666666666668e-05
