"Time / s","Vmout:Measured voltage","VD1:Measured voltage","VD2:Measured voltage","VD3:Measured voltage","VD4:Measured voltage","Am1:Measured current","Am2:Measured current","Am3:Measured current","Am4:Measured current","Vc:Measured voltage","AMLr:Measured current","AMIo:Measured current"
0,0,0,0,0,0,0,0,0,0,0,0,0
1.9999999999999999e-07,0.02333025826318021,0,-0.02333025826318021,-0.02333025826318021,0,231.93991740349523,0,0,231.93991740349523,21.207466827664511,12.646976322168378,0.093321033052720839
3.9999999999999998e-07,0.091602693290566237,0,-0.091602693290566237,-0.091602693290566237,0,447.06081145933297,0,0,447.06081145933297,83.294390385104094,24.379218676184166,0.36641077316226495
5.9999999999999997e-07,0.1998340386950305,0,-0.1998340386950305,-0.1998340386950305,0,629.81000537558077,0,0,629.81000537558077,181.77468000887885,34.350870489700227,0.79933615478012199
7.9999999999999996e-07,0.3401519744319601,0,-0.3401519744319601,-0.3401519744319601,0,766.97303876835326,0,0,766.97303876835326,309.53879023921894,41.843240414029367,1.3606078977278404
9.9999999999999995e-07,0.50236354712846953,0,-0.50236354712846953,-0.50236354712846953,0,848.6261473421954,0,0,848.6261473421954,457.36705262604352,46.316604160707328,2.0094541885138781
1.1999999999999999e-06,0.67469082237143085,0,-0.67469082237143085,-0.67469082237143085,0,868.85120372437439,0,0,868.85120372437439,614.59506887967996,47.449087604375848,2.6987632894857234
1.3999999999999999e-06,0.84462067638563298,0,-0.84462067638563298,-0.84462067638563298,0,826.16161340286067,0,0,826.16161340286067,769.88314327189005,45.159829920153811,3.3784827055425319
1.5999999999999999e-06,0.99980741513746585,0,-0.99980741513746585,-0.99980741513746585,0,723.60851704252809,0,0,723.60851704252809,912.03424004214423,39.614759867955826,3.9992296605498634
1.7999999999999999e-06,1.1289631131214688,0,-1.1289631131214688,-1.1289631131214688,0,568.55971333823481,0,0,568.55971333823481,1030.8014647410998,31.214572633931596,4.5158524524858752
1.9999999999999999e-06,1.2226714646585219,0,-1.2226714646585219,-1.2226714646585219,0,372.16732123832156,0,0,372.16732123832156,1117.6268374940969,20.565778404639488,4.8906858586340878
2.2000000000000001e-06,1.2740664714303254,0,-1.2740664714303254,-1.2740664714303254,0,148.56264437742195,0,0,148.56264437742195,1166.2580946532155,8.4369144926136919,5.0962658857213015
2.3999999999999999e-06,1.2847945197976736,-1.2847945197976736,0,0,-1.2847945197976736,0,77.308958384119435,77.308958384119435,0,1164.007208654547,-3.8617783326218529,5.1391780791906942
2.5999999999999997e-06,1.3199455870376293,-1.3199455870376293,0,0,-1.3199455870376293,0,282.46032101423748,282.46032101423748,0,1132.1887165021597,-15.113311674112651,5.2797823481505173
2.7999999999999999e-06,1.394314116766691,-1.394314116766691,0,0,-1.394314116766691,0,467.52763394100896,467.52763394100896,0,1064.468368841545,-25.27253984012421,5.5772564670667641
3.0000000000000001e-06,1.5024747715066065,-1.5024747715066065,0,0,-1.5024747715066065,0,619.04668871608499,619.04668871608499,0,965.7373181858776,-33.607178470135381,6.0098990860264259
3.1999999999999999e-06,1.636542070961974,-1.636542070961974,0,0,-1.636542070961974,0,725.97587538321886,725.97587538321886,0,843.12159593353624,-39.516697816333192,6.5461682838478961
3.3999999999999996e-06,1.7867396791343588,-1.7867396791343588,0,0,-1.7867396791343588,0,780.49195434305398,780.49195434305398,0,705.46768103505508,-42.575601863081886,7.1469587165374353
3.5999999999999998e-06,1.9421059311139008,-1.9421059311139008,0,0,-1.9421059311139008,0,778.55354132730292,778.55354132730292,0,562.70411046553534,-42.564074333522001,7.7684237244556034
3.8e-06,2.0912846866906163,-2.0912846866906163,0,0,-2.0912846866906163,0,720.19172100878689,720.19172100878689,0,425.1251996879779,-39.48378433377502,8.3651387467624652
3.9999999999999998e-06,2.2233444559533146,-2.2233444559533146,0,0,-2.2233444559533146,0,609.50689318127309,609.50689318127309,0,302.64854804524759,-33.557715157548273,8.8933778238132586
4.1999999999999996e-06,2.3285667161928147,-2.3285667161928147,0,0,-2.3285667161928147,0,454.37214632990413,454.37214632990413,0,204.09988276080955,-25.214032261809493,9.314266864771259
4.4000000000000002e-06,2.3991465748553651,-2.3991465748553651,0,0,-2.3991465748553651,0,265.86461817766343,265.86461817766343,0,136.576811323756,-15.055157493086156,9.5965862994214604
4.6e-06,2.429755267808611,-2.429755267808611,0,0,-2.429755267808611,0,57.465915068679962,57.465915068679962,0,104.93734944427212,-3.8142832806950135,9.7190210712344438
4.7999999999999998e-06,2.4377612973368534,0,-2.4377612973368534,-2.4377612973368534,0,125.47204922632001,0,0,125.47204922632001,116.56480248524446,6.2172706062519758,9.7510451893474137
4.9999999999999996e-06,2.4774519278228802,0,-2.4774519278228802,-2.4774519278228802,0,288.66402450189935,0,0,288.66402450189935,152.54420790340455,15.239338413794215,9.9098077112915206
5.1999999999999993e-06,2.5014640389724079,-2.5014640389724079,0,0,-2.5014640389724079,0,27.976222677989455,27.976222677989455,0,169.60038011966924,-1.9251151829063478,10.005856155889632
5.4e-06,2.5328810492398097,-2.5328810492398097,0,0,-2.5328810492398097,0,304.1571388885979,304.1571388885979,0,137.67999326719624,-17.110846655879435,10.131524196959239
5.5999999999999997e-06,2.6175420286270108,-2.6175420286270108,0,0,-2.6175420286270108,0,557.62180813980285,557.62180813980285,0,56.904291963291975,-31.06091961543666,10.470168114508043
5.7999999999999995e-06,2.7489756228009403,-2.7489756228009403,0,0,-2.7489756228009403,0,769.88186304801422,769.88186304801422,0,-66.896595057564738,-42.769792391885574,10.995902491203761
6.0000000000000002e-06,2.917296306918217,-2.917296306918217,0,0,-2.917296306918217,0,925.42513230601526,925.42513230601526,0,-224.79174131739947,-51.393785585771838,11.669185227672868
6.1999999999999999e-06,3.1099182039990705,-3.1099182039990705,0,0,-3.1099182039990705,0,1012.8337126195306,1012.8337126195306,0,-405.3942176985932,-56.311889875580988,12.439672815996282
6.3999999999999997e-06,3.3124634927975714,-3.3124634927975714,0,0,-3.3124634927975714,0,1025.6065112586039,1025.6065112586039,0,-595.68286298350677,-57.170501226120365,13.249853971190285
6.5999999999999995e-06,3.5097998474132699,-3.5097998474132699,0,0,-3.5097998474132699,0,962.62700638353522,962.62700638353522,0,-781.94172430425942,-53.908860943469392,14.03919938965308
6.7999999999999993e-06,3.6871320603358022,-3.6871320603358022,0,0,-3.6871320603358022,0,828.2425722904411,828.2425722904411,0,-950.74938939020785,-46.763370300836698,14.748528241343209
6.9999999999999999e-06,3.8310691101460805,-3.8310691101460805,0,0,-3.8310691101460805,0,631.94973783206672,631.94973783206672,0,-1089.9468499192919,-36.250473415702643,15.324276440584322
7.1999999999999997e-06,3.9305897240519942,-3.9305897240519942,0,0,-3.9305897240519942,0,387.70816710688302,387.70816710688302,0,-1189.5140999526559,-23.129347756484719,15.722358896207977
7.3999999999999995e-06,3.977836823493599,-3.977836823493599,0,0,-3.977836823493599,0,112.93292231120685,112.93292231120685,0,-1242.2922713372968,-8.3470976181005803,15.911347293974396
7.6000000000000001e-06,3.9855438185276979,0,-3.9855438185276979,-3.9855438185276979,0,131.98441941390598,0,0,131.98441941390598,-1235.4936921810536,5.0493582494886695,15.942175274110792
