"Time / s","Vmout:Measured voltage","VmD1:Measured voltage","VmD2:Measured voltage","AMLr:Measured current","AmD1:Measured current","AmD2:Measured current"
0,0,0,0,0,0,0
3.3333333333333335e-07,8.2357150191421123e-32,0,-28.129873275756836,2.4533982276916504,0.2462211549282074,-0.2462211549282074
6.6666666666666671e-07,0.063037782907485962,0,-10.47358226776123,22.597467422485352,370.03692626953125,0.15078368782997131
1.0000000000000002e-06,0.23724409937858582,0,-7.2086601257324219,38.275890350341797,657.231201171875,0.013858947902917862
1.3333333333333334e-06,0.48494425415992737,0,-2.94110107421875,46.371074676513672,805.146240234375,0.013692472130060196
1.6666666666666667e-06,0.75383216142654419,0,0,45.284553527832031,784.26220703125,0.013517845422029495
2.0000000000000003e-06,1.0047593116760254,0,0,33.719696044921875,646.33245849609375,79.212875366210938
2.3333333333333336e-06,1.233080267906189,0,0,14.163906097412109,425.38595581054688,225.424560546875
2.6666666666666668e-06,1.4337641000747681,0,0,-8.74200439453125,165.82716369628906,395.9219970703125
3.0000000000000001e-06,1.6023992300033569,0,0,-29.564857482910156,-80.343368530273438,540.697998046875
3.3333333333333333e-06,1.8312104940414429,-18.574378967285156,0,-38.442092895507813,-0.66751044988632202,776.8516845703125
3.666666666666667e-06,2.0999562740325928,-3.5460987091064453,0,-41.230560302734375,0.1062832772731781,825.697998046875
4.0000000000000007e-06,2.3592305183410645,0,0,-35.851348876953125,0.0128173828125,723.5068359375
4.3333333333333339e-06,2.570065975189209,0,0,-22.536605834960938,42.6959228515625,516.20721435546875
4.6666666666666672e-06,2.723651647567749,0,0,-3.8835678100585938,129.40740966796875,252.70977783203125
5.0000000000000004e-06,2.8166589736938477,0,0,15.682210922241211,220.56973266601563,-23.473037719726563
5.3333333333333337e-06,2.7987306118011475,0,0,-14.754878044128418,-319.69955444335938,-0.080719813704490662
5.6666666666666669e-06,2.7949676513671875,-107.52741241455078,0,-2.7831711769104004,-3.9220528602600098,2.4098191261291504
6.0000000000000002e-06,2.8687875270843506,-19.228240966796875,0,-27.231781005859375,0.75565093755722046,450.90884399414063
6.3333333333333334e-06,3.0766208171844482,-14.196274757385254,0,-46.391204833984375,0.029845360666513443,797.02825927734375
6.6666666666666666e-06,3.3730113506317139,-9.0805234909057617,0,-56.351058959960938,0.016111578792333603,974.70892333984375
7.0000000000000007e-06,3.6944925785064697,-3.4319558143615723,0,-55.156005859375,0.016464833170175552,947.33502197265625
7.333333333333334e-06,3.9723045825958252,0,0,-43.048614501953125,0.01287841796875,719.3531494140625
7.6666666666666672e-06,4.161738395690918,0,0,-21.088127136230469,70.346023559570313,377.38067626953125
8.0000000000000013e-06,4.258669376373291,0,0,5.8633451461791992,182.75079345703125,-16.226089477539063
8.3333333333333337e-06,4.3735089302062988,0,-19.769012451171875,23.881280899047852,521.76104736328125,-0.27939143776893616
8.6666666666666678e-06,4.5851144790649414,0,-14.624244689941406,37.453227996826172,764.061279296875,0.027870398014783859
9.0000000000000002e-06,4.8553290367126465,0,-10.515342712402344,43.592300415039063,869.35601806640625,0.013477813452482224
9.3333333333333343e-06,5.1339445114135742,0,-6.2808341979980469,41.079868316650391,815.563720703125,0.012112218886613846
9.6666666666666667e-06,5.3686118125915527,0,-2.7044038772583008,30.419103622436523,611.925537109375,0.0089693479239940643
1.0000000000000001e-05,5.5152158737182617,0,-0.50083351135253906,13.727409362792969,297.37799072265625,0.0040267519652843475
1.0333333333333333e-05,5.6747732162475586,0,-21.335456848144531,35.568717956542969,689.13848876953125,-0.19663247466087341
1.0666666666666667e-05,5.9449944496154785,0,-17.212787628173828,50.343685150146484,951.35400390625,0.011928971856832504
1.1000000000000001e-05,6.2726097106933594,0,-11.875327110290527,55.140357971191406,1029.9027099609375,0.016603816300630569
1.1333333333333334e-05,6.592409610748291,0,-6.627953052520752,49.010257720947266,907.53765869140625,0.014578420668840408
1.1666666666666668e-05,6.8401341438293457,0,-2.4826726913452148,33.174297332763672,606.71807861328125,0.0098830200731754303
1.2e-05,6.965212345123291,0,-0.25686359405517578,10.776427268981934,185.25762939453125,0.0032491274178028107
1.2333333333333334e-05,6.9407773017883301,0,-0.38673591613769531,-13.740281105041504,-275.14251708984375,-0.0040119625627994537
1.2666666666666667e-05,6.9314913749694824,-90.986701965332031,0,-2.9175519943237305,-3.3646204471588135,1.9863491058349609
