"Time / s","Vmout:Measured voltage","VD1:Measured voltage","VD2:Measured voltage","VD3:Measured voltage","VD4:Measured voltage","Am1:Measured current","Am2:Measured current","Am3:Measured current","Am4:Measured current","Vc:Measured voltage","AMLr:Measured current","AMIo:Measured current"
0,0,0,0,0,0,0,0,0,0,0,0,0
3.3333333333333335e-07,0.064095968421793215,0,-0.064095968421793215,-0.064095968421793215,0,378.22011833934488,0,0,378.22011833934488,58.276071281499839,20.624358402069333,0.25638387368717286
6.6666666666666671e-07,0.24350430934112244,0,-0.24350430934112244,-0.24350430934112244,0,681.16041148906777,0,0,681.16041148906777,221.52734278286519,37.154491572982295,0.97401723736448975
1.0000000000000002e-06,0.5023638274306742,0,-0.5023638274306742,-0.5023638274306742,0,848.62345259327208,0,0,848.62345259327208,457.36731209880713,46.316457604062606,2.0094553097226968
1.3333333333333334e-06,0.78901844498034412,0,-0.78901844498034412,-0.78901844498034412,0,847.28251804530851,0,0,847.28251804530851,719.03841264474795,46.297699883683947,3.1560737799213765
1.6666666666666667e-06,1.0462600531387054,0,-1.0462600531387054,-1.0462600531387054,0,677.27561646135473,0,0,677.27561646135473,954.68334062854115,37.105674384194458,4.1850402125548216
2.0000000000000003e-06,1.2226676883648686,0,-1.2226676883648686,-1.2226676883648686,0,372.16537607663628,0,0,372.16537607663628,1117.6234184055852,20.565672613473936,4.8906707534594744
2.3333333333333336e-06,1.2827297854591488,-1.2827297854591488,0,0,-1.2827297854591488,0,7.0353289035546167,7.0353289035546167,0,1173.3809234757443,-0.0084209665446295379,5.1309191418365954
2.6666666666666668e-06,1.3417714356559003,-1.3417714356559003,0,0,-1.3417714356559003,0,351.64795823042198,351.64795823042198,0,1119.9302569869997,-18.908162487902302,5.3670857426236012
3.0000000000000001e-06,1.5058175563568295,-1.5058175563568295,0,0,-1.5058175563568295,0,627.24603575361925,627.24603575361925,0,970.28723598112276,-34.054420309548604,6.0232702254273178
3.3333333333333333e-06,1.741999003874777,-1.741999003874777,0,0,-1.741999003874777,0,778.6805529683586,778.6805529683586,0,754.1372367463523,-42.447765253474586,6.9679960154991081
3.666666666666667e-06,2.0029780420899796,-2.0029780420899796,0,0,-2.0029780420899796,0,775.42943156244814,775.42943156244814,0,514.33029226224335,-42.428124099801749,8.0119121683599186
4.0000000000000007e-06,2.2363351807387972,-2.2363351807387972,0,0,-2.2363351807387972,0,617.63681130810528,617.63681130810528,0,298.38457783127296,-34.00323638223206,8.9453407229551889
4.3333333333333339e-06,2.394959535669908,-2.394959535669908,0,0,-2.394959535669908,0,336.07298242100319,336.07298242100319,0,149.06809158208816,-18.84647943400806,9.5798381426796322
4.6666666666666672e-06,2.4461305983719384,0,-2.4461305983719384,-2.4461305983719384,0,11.405381328785749,0,0,11.405381328785749,99.665331327006726,-0.088255968759486159,9.7845223934877534
5.0000000000000004e-06,2.4947154968048402,0,-2.4947154968048402,-2.4947154968048402,0,294.90072729120533,0,0,294.90072729120533,143.42951711278096,15.576682774796048,9.9788619872193607
5.3333333333333337e-06,2.5299176348146211,-2.5299176348146211,0,0,-2.5299176348146211,0,194.05571306847042,194.05571306847042,0,116.19499706638035,-11.060210212307716,10.119670539258484
5.6666666666666669e-06,2.6598298156017197,-2.6598298156017197,0,0,-2.6598298156017197,0,592.19190238382123,592.19190238382123,0,-8.2556423005311537,-32.986177384222799,10.639319262406879
6.0000000000000002e-06,2.9041203221945846,-2.9041203221945846,0,0,-2.9041203221945846,0,870.10133995248327,870.10133995248327,0,-238.12719402315528,-48.372783017521755,11.616481288778338
6.3333333333333334e-06,3.2124121585321634,-3.2124121585321634,0,0,-3.2124121585321634,0,971.78827263469157,971.78827263469157,0,-527.86156075077395,-54.174482965443616,12.849648634128654
6.6666666666666666e-06,3.5213448638511404,-3.5213448638511404,0,0,-3.5213448638511404,0,876.20308547488276,876.20308547488276,0,-820.06119680593872,-49.246311046548556,14.085379455404562
7.0000000000000007e-06,3.7671370055943725,-3.7671370055943725,0,0,-3.7671370055943725,0,601.40069521341456,601.40069521341456,0,-1056.867931613458,-34.570042709408696,15.06854802237749
7.333333333333334e-06,3.8982274258216121,-3.8982274258216121,0,0,-3.8982274258216121,0,200.94811375844239,200.94811375844239,0,-1191.4286981070682,-13.058821680239276,15.592909703286448
7.6666666666666672e-06,3.9201183780697018,0,-3.9201183780697018,-3.9201183780697018,0,180.48340313844534,0,0,180.48340313844534,-1172.6941945590991,7.7726478897247659,15.680473512278807
8.0000000000000013e-06,4.0259094418169044,0,-4.0259094418169044,-4.0259094418169044,0,475.8638162353709,0,0,475.8638162353709,-1082.3194877750511,24.212076292915881,16.103637767267617
8.3333333333333337e-06,4.2166997727462068,0,-4.2166997727462068,-4.2166997727462068,0,682.84884437003393,0,0,682.84884437003393,-912.63264071317769,35.844414612043693,16.866799090984827
8.6666666666666678e-06,4.4552542920452716,0,-4.4552542920452716,-4.4552542920452716,0,759.11849198761229,0,0,759.11849198761229,-697.30157557401412,40.367841007958532,17.821017168181086
9.0000000000000002e-06,4.6944408590311983,0,-4.6944408590311983,-4.6944408590311983,0,688.27189285498093,0,0,688.27189285498093,-479.01825403190276,36.890168998540815,18.777763436124793
9.3333333333333343e-06,4.8865746136302279,0,-4.8865746136302279,-4.8865746136302279,0,483.06813546844739,0,0,483.06813546844739,-301.03507866531862,26.105106965896255,19.546298454520912
9.6666666666666667e-06,4.9928684826094525,0,-4.9928684826094525,-4.9928684826094525,0,182.88730002094999,0,0,182.88730002094999,-198.59349007478315,10.15417782906308,19.97147393043781
1.0000000000000001e-05,5.0226151543220992,0,-5.0226151543220992,-5.0226151543220992,0,198.92137879250762,0,0,198.92137879250762,-162.73226351278277,11.449864781859937,20.090460617288397
1.0333333333333333e-05,5.1501968409676229,0,-5.1501968409676229,-5.1501968409676229,0,593.04449318926174,0,0,593.04449318926174,-36.106879769466445,33.366752333933221,20.600787363870491
1.0666666666666667e-05,5.3905988130278697,0,-5.3905988130278697,-5.3905988130278697,0,865.62561074685311,0,0,865.62561074685311,195.68434986362135,48.672305603935001,21.562395252111479
1.1000000000000001e-05,5.6930534668658028,0,-5.6930534668658028,-5.6930534668658028,0,960.98173539200434,0,0,960.98173539200434,486.72439284803102,54.337885277649178,22.772213867463211
1.1333333333333334e-05,5.9939501836111369,0,-5.9939501836111369,-5.9939501836111369,0,858.57647370680479,0,0,858.57647370680479,779.38310167841178,49.246332944924802,23.975800734444547
1.1666666666666668e-05,6.2294483717829197,0,-6.2294483717829197,-6.2294483717829197,0,577.07701914942322,0,0,577.07701914942322,1015.7420638194596,34.412619585436516,24.917793487131679
1.2e-05,6.3481315163011249,0,-6.3481315163011249,-6.3481315163011249,0,170.64071409100433,0,0,170.64071409100433,1149.072180642801,12.781891482723502,25.3925260652045
1.2333333333333334e-05,6.3610616442040397,-6.3610616442040397,0,0,-6.3610616442040397,0,168.58201690686647,168.58201690686647,0,1136.6208675256228,-5.845733662373874,25.444246576816159
1.2666666666666667e-05,6.4507636183142552,-6.4507636183142552,0,0,-6.4507636183142552,0,412.73021432486053,412.73021432486053,0,1064.4476966099232,-19.696622027995758,25.803054473257021
1.3000000000000001e-05,6.6109314238736996,-6.6109314238736996,0,0,-6.6109314238736996,0,584.90803021595627,584.90803021595627,0,925.06517718576117,-29.633993115583849,26.443725695494798
1.3333333333333333e-05,6.8109627705109146,-6.8109627705109146,0,0,-6.8109627705109146,0,648.98127651879918,648.98127651879918,0,746.14151561557617,-33.692349159425532,27.243851082043658
1.3666666666666667e-05,7.0116855186139491,-7.0116855186139491,0,0,-7.0116855186139491,0,590.25111385039804,590.25111385039804,0,563.15749759175355,-31.07197318596171,28.046742074455796
1.4000000000000001e-05,7.1731242471606524,-7.1731242471606524,0,0,-7.1731242471606524,0,418.35967121024555,418.35967121024555,0,412.37237524960028,-22.296957429762429,28.69249698864261
1.4333333333333334e-05,7.2624233633944009,-7.2624233633944009,0,0,-7.2624233633944009,0,165.37097005235026,165.37097005235026,0,323.63819733290785,-9.1108356623465454,29.049693453577603
1.4666666666666668e-05,7.2630907205903545,0,-7.2630907205903545,-7.2630907205903545,0,35.111626140595888,0,0,35.111626140595888,323.41547655797109,1.7244390308434401,29.052362882361418
1.5e-05,7.2782116697862183,0,-7.2782116697862183,-7.2782116697862183,0,111.1924657667924,0,0,111.1924657667924,346.60698446160984,6.4845952764571493,29.112846679144873
