time,Current: AML1,Current: AMD1,Current: AMD2,Current: AMIout,Voltage: VMSw1,Voltage: VMSw2,Voltage: VML1,Voltage: VMC1,Voltage: VMp,Voltage: VMD1,Voltage: VMS1,Voltage: VMD2,Voltage: VMS2,Voltage: VMout
0.002793,11.346725463867188,139.5272674560547,0.0,139.5272674560547,0.0,1000.0,-289.575927734375,721.162109375,568.413818359375,0.0,35.35603332519531,-69.57188415527344,-34.21585464477539,35.35603332519531
0.0027935,8.242780685424805,69.00112915039062,0.0,69.00112915039062,0.0,1000.0,-476.47052001953125,925.15576171875,551.3147583007812,0.0,35.37131118774414,-69.0946044921875,-33.723289489746094,35.37131118774414
0.002794,3.8685097694396973,0.0,0.0,0.0,0.0,1000.0,-53.0076904296875,1053.0076904296875,0.0,-35.34669494628906,0.0,-35.34669494628906,0.0,35.34669494628906
0.0027944999999999997,3.733541488647461,0.0,0.0,0.0,0.0,1000.0,-23.2972412109375,1132.017822265625,-108.7205810546875,-41.63846206665039,-6.3285675048828125,-28.981327056884766,6.3285675048828125,35.30989456176758
0.0027949999999999997,3.485539674758911,0.0,0.0,0.0,1000.0,0.0,-561.05078125,1207.0635986328125,-646.0128173828125,-71.71759796142578,-36.44446563720703,0.0,35.27313232421875,35.27313232421875
0.0027955,-1.232667326927185,0.0,61.227664947509766,61.227664947509766,1000.0,0.0,-585.6593017578125,1233.575927734375,-647.9166259765625,-71.73934936523438,-36.4888801574707,0.0,35.25047302246094,35.25047302246094
0.002796,-5.814966201782227,0.0,120.1717529296875,120.1717529296875,1000.0,0.0,-522.0560913085938,1164.1839599609375,-642.1278686523438,-71.58050537109375,-36.323036193847656,0.0,35.25747299194336,35.25747299194336
0.0027965,-9.567856788635254,0.0,165.1412811279297,165.1412811279297,1000.0,0.0,-378.9541015625,1008.3449096679688,-629.3908081054688,-71.25706481933594,-35.9667854309082,0.0,35.290279388427734,35.290279388427734
0.002797,-11.916165351867676,0.0,186.4408416748047,186.4408416748047,1000.0,0.0,-177.182373046875,788.6679077148438,-611.4855346679688,-70.80735778808594,-35.46763610839844,0.0,35.339725494384766,35.339725494384766
0.0027975,-12.491273880004883,0.0,177.85855102539062,177.85855102539062,1000.0,0.0,53.33966064453125,537.6294555664062,-590.9691162109375,-70.28651428222656,-34.89384841918945,0.0,35.392669677734375,35.392669677734375
0.0027979999999999997,-11.189013481140137,0.0,137.64236450195312,137.64236450195312,1000.0,0.0,278.0351867675781,292.7619934082031,-570.7971801757812,-69.75825500488281,-34.32432556152344,0.0,35.43393325805664,35.43393325805664
0.0027984999999999998,-8.188152313232422,0.0,68.81178283691406,68.81178283691406,1000.0,0.0,462.8525695800781,91.02810668945312,-553.8806762695312,-69.28538513183594,-33.836795806884766,0.0,35.44859313964844,35.44859313964844
0.002799,-3.926257610321045,0.0,0.0,0.0,1000.0,0.0,36.77696228027344,-36.77696228027344,0.0,-35.424232482910156,0.0,-35.424232482910156,0.0,35.424232482910156
0.0027995,-3.814060926437378,0.0,0.0,0.0,1000.0,0.0,20.686012268066406,-117.22074890136719,96.53473663330078,-29.76811408996582,5.619238376617432,-41.006591796875,-5.619238376617432,35.387351989746094
0.0028,-3.5864031314849854,0.0,0.0,0.0,0.0,1000.0,548.0410766601562,-194.14852905273438,646.1074829101562,0.0,35.35050964355469,-71.83623504638672,-36.48572540283203,35.35050964355469
0.0028005,1.0351777076721191,59.56087112426758,0.0,59.56087112426758,0.0,1000.0,575.4069213867188,-223.66659545898438,648.2597045898438,0.0,35.327396392822266,-71.86457824707031,-36.53718185424805,35.327396392822266
0.0028009999999999997,5.549639701843262,117.32328796386719,0.0,117.32328796386719,0.0,1000.0,516.1406860351562,-158.9947509765625,642.8540649414062,0.0,35.333229064941406,-71.71519470214844,-36.381961822509766,35.333229064941406
0.0028014999999999997,9.274043083190918,161.7744140625,0.0,161.7744140625,0.0,1000.0,378.31549072265625,-8.89565372467041,630.5801391601562,0.0,35.364437103271484,-71.40290069580078,-36.0384635925293,35.364437103271484
0.002802,11.637929916381836,183.2983856201172,0.0,183.2983856201172,0.0,1000.0,181.971923828125,204.87745666503906,613.150634765625,0.0,35.41220474243164,-70.964599609375,-35.552398681640625,35.41220474243164
