time,Current: AMS1,Current: AMS2,Current: AMLr,Current: AMD1,Current: AMD2,Current: AMOut,Voltage: VMLp,Voltage: VMCr,Voltage: VMD1,Voltage: VMD2,Voltage: VMout
0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0
5e-07,29.377212524414062,0.0,29.377212524414062,538.65966796875,0.0,0.4230629801750183,600.0,96.30518341064453,0.0,-10.018608093261719,0.10576574504375458
1e-06,49.1196174621582,0.0,49.1196174621582,900.1663818359375,0.0,1.7635658979415894,600.0,401.5413513183594,0.0,-4.576728820800781,0.44089147448539734
1.5e-06,50.37419509887695,0.0,50.37419509887695,921.7417602539062,0.0,3.5439248085021973,600.0,807.8053588867188,0.0,0.0,0.8859812021255493
2e-06,28.532358169555664,0.0,28.532358169555664,662.0919799804688,150.42825317382812,5.264942646026611,600.0,1153.177734375,0.0,0.0,1.3162356615066528
2.4999999999999998e-06,-9.876712799072266,0.0,-9.876712799072266,227.0709228515625,436.5332336425781,6.726504325866699,600.0,1267.6529541015625,0.0,0.0,1.6816260814666748
3e-06,-47.95030212402344,0.0,-47.95030212402344,0.0,703.3067626953125,7.857265949249268,600.0,1067.93408203125,-1.964316487312317,0.0,1.964316487312317
3.5e-06,-61.25529861450195,0.0,-61.25529861450195,0.0,942.4259033203125,9.403172492980957,600.0,631.7079467773438,-4.357550621032715,0.0,2.3507931232452393
4e-06,-50.67085647583008,0.0,-50.67085647583008,0.0,742.5072631835938,11.070249557495117,600.0,164.8649444580078,0.0,0.0,2.7675623893737793
4.5e-06,-15.181197166442871,0.0,-15.181197166442871,188.1746826171875,264.3674621582031,12.243548393249512,600.0,-140.40872192382812,0.0,0.0,3.060887098312378
4.9999999999999996e-06,0.0,31.92683982849121,31.92683982849121,474.4679870605469,0.0,12.81610107421875,600.0,-118.19490051269531,0.0,4.323739528656006,3.2040252685546875
5.5e-06,0.0,0.23867899179458618,0.23867899179458618,0.0,0.0,13.2543363571167,600.0,39.340309143066406,-3.313584089279175,0.0,3.313584089279175
6e-06,0.0,-28.13065528869629,-28.13065528869629,0.0,512.5160522460938,13.628946304321289,600.0,-51.71542739868164,-16.156612396240234,0.0,3.4072365760803223
6.5e-06,0.0,-47.29994583129883,-47.29994583129883,0.0,855.891845703125,14.875807762145996,600.0,-344.87689208984375,-10.913773536682129,0.0,3.718951940536499
7e-06,0.0,-48.68907928466797,-48.68907928466797,0.0,872.3753662109375,16.537113189697266,600.0,-736.6950073242188,-3.9092636108398438,0.0,4.134278297424316
7.499999999999999e-06,0.0,-30.294878005981445,-30.294878005981445,0.0,525.1454467773438,17.941295623779297,600.0,-1075.0345458984375,0.0,0.0,4.485323905944824
8e-06,0.0,3.7713828086853027,3.7713828086853027,92.95293426513672,0.0,18.508880615234375,600.0,-1217.5098876953125,0.0,-4.627220153808594,4.627220153808594
8.5e-06,0.0,29.231447219848633,29.231447219848633,549.0422973632812,0.0,19.011184692382812,600.0,-1103.15966796875,0.0,-17.419387817382812,4.752796173095703
9e-06,0.0,44.800621032714844,44.800621032714844,823.2762451171875,0.0,20.264604568481445,600.0,-812.7865600585938,0.0,-12.234426498413086,5.066151142120361
9.499999999999999e-06,0.0,43.316490173339844,43.316490173339844,783.9734497070312,0.0,21.80710220336914,600.0,-450.8482360839844,0.0,-5.76776123046875,5.451775550842285
9.999999999999999e-06,24.01106834411621,0.0,24.01106834411621,417.02764892578125,0.0,23.01143455505371,600.0,-159.47998046875,0.0,-24.030698776245117,5.752858638763428
1.05e-05,52.09682846069336,0.0,52.09682846069336,918.51708984375,0.0,24.174474716186523,600.0,129.1937255859375,0.0,-18.840503692626953,6.043618679046631
