time,diode1_map_value,diode2_map_value
0.00019733333333333335,,48
0.0002,49,
0.00020233333333333334,,49
0.00020533333333333336,50,
0.00020733333333333335,,50
0.00021,51,
0.00021233333333333334,,51
0.00021533333333333335,52,
0.00021733333333333335,,52
0.00022,53,
0.00022233333333333333,,53
0.00022533333333333335,54,
0.00022733333333333335,,54
0.00023,55,
0.00023233333333333336,,55
0.00023533333333333335,56,
0.00023733333333333335,,56
0.00024,57,
0.00024233333333333336,,57
0.00024533333333333335,58,
0.0002476666666666667,,58
0.00025,59,
0.00025233333333333336,,59
0.0002553333333333333,60,
0.0002576666666666667,,60
0.00026000000000000003,61,
0.00026233333333333333,,61
0.00026533333333333335,62,
0.0002676666666666667,,62
0.00027,63,
0.00027233333333333336,,63
0.0002753333333333334,64,
0.0002776666666666667,,64
0.00028000000000000003,65,
0.00028233333333333333,,65
0.00028533333333333335,66,
0.0002876666666666667,,66
0.00029,67,
0.00029233333333333336,,67
0.0002953333333333334,68,
0.0002976666666666667,,68
0.00030000000000000003,69,
0.00030233333333333333,,69
0.00030533333333333335,70,
0.0003076666666666667,,70
0.00031,71,
0.00031233333333333335,,71
0.00031533333333333337,72,
0.00031766666666666667,,72
0.00032,73,
0.0003223333333333333,,73
0.00032533333333333334,74,
0.0003276666666666667,,74
0.00033,75,
0.00033233333333333335,,75
0.00033533333333333337,76,
0.00033766666666666667,,76
0.00034,77,
0.0003423333333333334,,77
0.00034533333333333334,78,
0.0003476666666666667,,78
0.00035,79,
0.00035233333333333335,,79
0.00035533333333333337,80,
0.00035766666666666667,,80
0.00036,81,
0.0003623333333333334,,81
0.00036533333333333334,82,
0.0003676666666666667,,82
0.00037000000000000005,83,
0.00037233333333333335,,83
0.00037533333333333337,84,
0.00037766666666666667,,84
0.00038,85,
0.0003823333333333334,,85
0.00038533333333333334,86,
0.0003876666666666667,,86
0.00039000000000000005,87,
0.00039233333333333335,,87
0.00039533333333333337,88,
0.00039766666666666667,,88
0.0004,89,
0.0004023333333333334,,89
0.00040533333333333334,90,
0.0004076666666666667,,90
0.00041000000000000005,91,
0.00041233333333333335,,91
0.00041533333333333336,92,
0.0004176666666666667,,92
0.00042,93,
0.00042233333333333337,,93
0.00042533333333333334,94,
0.0004276666666666667,,94
0.00043000000000000004,95,
0.00043233333333333334,,95
0.00043533333333333336,96,
0.0004376666666666667,,96
0.00044,97,
0.00044233333333333337,,97
0.00044533333333333333,98,
0.0004476666666666667,,98
0.00045000000000000004,99,
0.00045233333333333334,,99
0.00045533333333333336,100,
0.0004576666666666667,,100
0.00046,101,
0.00046233333333333337,,101
0.0004653333333333334,102,
0.0004676666666666667,,102
0.00047000000000000004,103,
0.00047233333333333334,,103
0.00047533333333333336,104,
0.0004776666666666667,,104
0.00048,105,
0.00048233333333333337,,105
0.0004853333333333334,106,
0.0004876666666666667,,106
0.00049,107,
0.0004923333333333333,,107
0.0004953333333333334,108,
0.0004976666666666667,,108
0.0005,109,
0.0005023333333333334,,109
0.0005053333333333333,110,
0.0005076666666666667,,110
0.00051,111,
0.0005123333333333334,,111
0.0005153333333333334,112,
0.0005176666666666667,,112
0.0005200000000000001,113,
0.0005223333333333334,,113
0.0005253333333333334,114,
0.0005276666666666667,,114
0.00053,115,
0.0005323333333333333,,115
0.0005353333333333334,116,
0.0005376666666666667,,116
0.00054,117,
0.0005423333333333334,,117
0.0005453333333333333,118,
0.0005476666666666667,,118
0.00055,119,
0.0005523333333333334,,119
0.0005553333333333334,120,
0.0005576666666666667,,120
0.0005600000000000001,121,
0.0005623333333333334,,121
0.0005653333333333334,122,
0.0005676666666666667,,122
0.0005700000000000001,123,
0.0005723333333333333,,123
0.0005753333333333334,124,
0.0005776666666666666,,124
0.00058,125,
0.0005823333333333334,,125
0.0005853333333333333,126,
0.0005876666666666667,,126
0.00059,127,
0.0005923333333333334,,127
0.0005953333333333333,128,
0.0005976666666666667,,128
0.0006000000000000001,129,
0.0006023333333333334,,129
0.0006053333333333334,130,
0.0006076666666666667,,130
0.0006100000000000001,131,
0.0006123333333333333,,131
0.0006153333333333334,132,
0.0006176666666666668,,132
0.00062,133,
0.0006223333333333334,,133
0.0006253333333333333,134,
0.0006276666666666667,,134
0.00063,135,
0.0006323333333333334,,135
0.0006353333333333333,136,
0.0006376666666666667,,136
0.00064,137,
0.0006423333333333334,,137
0.0006453333333333334,138,
0.0006476666666666667,,138
0.0006500000000000001,139,
0.0006523333333333333,,139
0.0006553333333333334,140,
0.0006576666666666668,,140
0.00066,141,
0.0006623333333333334,,141
0.0006653333333333334,142,
0.0006676666666666667,,142
0.00067,143,
0.0006723333333333334,,143
0.0006753333333333333,144,
0.0006776666666666667,,144
0.00068,145,
0.0006823333333333334,,145
0.0006853333333333334,146,
0.0006876666666666667,,146
0.0006900000000000001,147,
0.0006923333333333334,,147
0.0006953333333333334,148,
0.0006976666666666667,,148
0.0007,149,
0.0007023333333333333,,149
0.0007053333333333334,150,
0.0007076666666666667,,150
0.00071,151,
0.0007123333333333334,,151
0.0007153333333333333,152,
0.0007176666666666667,,152
0.00072,153,
0.0007223333333333334,,153
0.0007253333333333334,154,
0.0007276666666666667,,154
0.0007300000000000001,155,
0.0007323333333333334,,155
0.0007353333333333334,156,
0.0007376666666666667,,156
0.0007400000000000001,157,
0.0007423333333333333,,157
0.0007453333333333334,158,
0.0007476666666666667,,158
0.00075,159,
0.0007523333333333334,,159
0.0007553333333333333,160,
0.0007576666666666667,,160
0.00076,161,
0.0007623333333333334,,161
0.0007653333333333334,162,
0.0007676666666666667,,162
0.0007700000000000001,163,
0.0007723333333333334,,163
0.0007753333333333334,164,
0.0007776666666666667,,164
0.0007800000000000001,165,
0.0007823333333333333,,165
0.0007853333333333334,166,
0.0007876666666666668,,166
0.00079,167,
0.0007923333333333334,,167
0.0007953333333333333,168,
0.0007976666666666667,,168
0.0008,169,
0.0008023333333333334,,169
0.0008053333333333334,170,
0.0008076666666666667,,170
0.0008100000000000001,171,
0.0008123333333333334,,171
0.0008153333333333334,172,
0.0008176666666666667,,172
0.0008200000000000001,173,
0.0008223333333333333,,173
0.0008253333333333334,174,
0.0008276666666666668,,174
0.00083,175,
0.0008323333333333334,,175
0.0008353333333333334,176,
0.0008376666666666667,,176
0.00084,177,
0.0008423333333333334,,177
0.0008453333333333334,178,
0.0008476666666666667,,178
0.0008500000000000001,179,
0.0008523333333333334,,179
0.0008553333333333334,180,
0.0008576666666666667,,180
0.0008600000000000001,181,
0.0008623333333333333,,181
0.0008653333333333334,182,
0.0008676666666666668,,182
0.00087,183,
0.0008723333333333334,,183
0.0008753333333333334,184,
0.0008776666666666667,,184
0.00088,185,
0.0008823333333333334,,185
0.0008853333333333333,186,
0.0008876666666666667,,186
0.0008900000000000001,187,
0.0008923333333333334,,187
0.0008953333333333334,188,
0.0008976666666666667,,188
0.0009000000000000001,189,
0.0009023333333333334,,189
0.0009053333333333334,190,
0.0009076666666666668,,190
0.00091,191,
0.0009123333333333334,,191
0.0009153333333333334,192,
0.0009176666666666667,,192
0.00092,193,
0.0009223333333333334,,193
0.0009253333333333333,194,
0.0009276666666666667,,194
0.00093,195,
0.0009323333333333334,,195
0.0009353333333333334,196,
0.0009376666666666667,,196
0.0009400000000000001,197,
0.0009423333333333334,,197
0.0009453333333333334,198,
0.0009476666666666668,,198
0.0009500000000000001,199,
0.0009523333333333334,,199
0.0009553333333333334,200,
0.0009576666666666668,,200
0.00096,201,
0.0009623333333333334,,201
0.0009653333333333333,202,
0.0009676666666666667,,202
0.00097,203,
0.0009723333333333334,,203
0.0009753333333333334,204,
0.0009776666666666668,,204
0.00098,205,
0.0009823333333333333,,205
0.0009853333333333333,206,
0.0009876666666666666,,206
0.00099,207,
0.0009923333333333333,,207
0.0009953333333333333,208,
0.0009976666666666667,,208
