time,Current: AMD1,Current: AM1-IL,Voltage: VMD1,Voltage: VM1-VR
0.0,0.0,0.0,0.0,0.0
1e-06,0.0,0.03999999910593033,0.0,0.0
2e-06,0.0,0.07999999821186066,0.0,0.0
3e-06,0.0,0.11999999731779099,0.0,0.0
4e-06,0.0,0.1599999964237213,0.0,0.0
4.9999999999999996e-06,0.0,0.19999998807907104,0.0,0.0
6e-06,0.0,0.23999999463558197,0.0,0.0
7e-06,0.0,0.2800000011920929,0.0,0.0
8e-06,0.0,0.3199999928474426,0.0,0.0
9e-06,0.0,0.35999998450279236,0.0,0.0
9.999999999999999e-06,0.0,0.3999999761581421,0.0,0.0
1.1e-05,0.0,0.4399999976158142,0.0,0.0
1.2e-05,0.47999998927116394,0.47999998927116394,0.0,0.0
1.3e-05,0.5199494957923889,0.5199494957923889,0.0,0.0149625763297081
1.4e-05,0.5597955584526062,0.5597955584526062,0.0,0.031044572591781616
1.4999999999999999e-05,0.5995306372642517,0.5995306372642517,0.0,0.04823719710111618
1.6e-05,0.6391475200653076,0.6391475200653076,0.0,0.0665314793586731
1.7e-05,0.678638756275177,0.678638756275177,0.0,0.08591827750205994
1.8e-05,0.717997133731842,0.717997133731842,0.0,0.10638827085494995
1.8999999999999998e-05,0.7572154998779297,0.7572154998779297,0.0,0.12793196737766266
1.9999999999999998e-05,0.0,0.7962866425514221,-0.15053972601890564,0.15053972601890564
2.1e-05,0.0,0.8362866640090942,-0.14978884160518646,0.14978884160518646
2.2e-05,0.0,0.8762866854667664,-0.14904168248176575,0.14904168248176575
2.3e-05,0.0,0.9162866473197937,-0.1482982635498047,0.1482982635498047
2.4e-05,0.0,0.9562866687774658,-0.1475585401058197,0.1475585401058197
2.4999999999999998e-05,0.0,0.9962866902351379,-0.1468225121498108,0.1468225121498108
2.6e-05,0.0,1.03628671169281,-0.14609014987945557,0.14609014987945557
2.7e-05,0.0,1.0762866735458374,-0.14536145329475403,0.14536145329475403
2.8e-05,0.0,1.1162866353988647,-0.1446363776922226,0.1446363776922226
2.9e-05,0.0,1.1562867164611816,-0.14391493797302246,0.14391493797302246
2.9999999999999997e-05,0.0,1.196286678314209,-0.14319707453250885,0.14319707453250885
3.1e-05,0.0,1.2362866401672363,-0.14248280227184296,0.14248280227184296
3.2e-05,1.2762866020202637,1.2762866020202637,0.0,0.1417720913887024
3.2999999999999996e-05,1.3152140378952026,1.3152140378952026,0.0,0.17984330654144287
3.4e-05,1.3538844585418701,1.3538844585418701,0.0,0.21888577938079834
3.5e-05,1.3922914266586304,1.3922914266586304,0.0,0.2588869035243988
3.6e-05,1.4304285049438477,1.4304285049438477,0.0,0.29983389377593994
3.7e-05,1.4682894945144653,1.4682894945144653,0.0,0.34171387553215027
3.7999999999999995e-05,1.5058681964874268,1.5058681964874268,0.0,0.38451382517814636
3.9e-05,1.5431586503982544,1.5431586503982544,0.0,0.42822062969207764
3.9999999999999996e-05,0.0,1.5801546573638916,-0.47282105684280396,0.47282105684280396
4.1e-05,0.0,1.6201547384262085,-0.4704626202583313,0.4704626202583313
4.2e-05,0.0,1.6601547002792358,-0.4681159257888794,0.4681159257888794
4.2999999999999995e-05,0.0,1.7001546621322632,-0.46578094363212585,0.46578094363212585
4.4e-05,0.0,1.7401546239852905,-0.4634576141834259,0.4634576141834259
4.4999999999999996e-05,0.0,1.7801547050476074,-0.46114587783813477,0.46114587783813477
4.6e-05,0.0,1.8201546669006348,-0.4588456451892853,0.4588456451892853
4.7e-05,0.0,1.860154628753662,-0.45655691623687744,0.45655691623687744
4.8e-05,0.0,1.900154709815979,-0.4542796015739441,0.4542796015739441
4.9e-05,0.0,1.9401546716690063,-0.45201361179351807,0.45201361179351807
4.9999999999999996e-05,0.0,1.9801546335220337,-0.44975894689559937,0.44975894689559937
5.1e-05,0.0,2.0201547145843506,-0.4475155472755432,0.4475155472755432
5.2e-05,2.060154676437378,2.060154676437378,0.0,0.44528332352638245
5.3e-05,2.0969858169555664,2.0969858169555664,0.0,0.5052686929702759
5.4e-05,2.1334142684936523,2.1334142684936523,0.0,0.5660511255264282
5.4999999999999995e-05,2.1694350242614746,2.1694350242614746,0.0,0.6276144981384277
5.6e-05,2.205042600631714,2.205042600631714,0.0,0.6899425983428955
5.6999999999999996e-05,2.240232467651367,2.240232467651367,0.0,0.7530192732810974
5.8e-05,2.2749991416931152,2.2749991416931152,0.0,0.8168281316757202
5.9e-05,2.309338331222534,2.309338331222534,0.0,0.8813528418540955
5.9999999999999995e-05,0.0,2.343244791030884,-0.9465768933296204,0.9465768933296204
6.1e-05,0.0,2.383244752883911,-0.9418553113937378,0.9418553113937378
6.2e-05,0.0,2.4232447147369385,-0.9371572732925415,0.9371572732925415
6.3e-05,0.0,2.463244915008545,-0.9324827194213867,0.9324827194213867
6.4e-05,0.0,2.5032448768615723,-0.9278314709663391,0.9278314709663391
6.5e-05,0.0,2.5432448387145996,-0.9232034087181091,0.9232034087181091
6.599999999999999e-05,0.0,2.583244800567627,-0.9185984134674072,0.9185984134674072
6.7e-05,0.0,2.6232447624206543,-0.9140164256095886,0.9140164256095886
6.8e-05,0.0,2.6632447242736816,-0.909457266330719,0.909457266330719
6.9e-05,0.0,2.703244686126709,-0.9049208760261536,0.9049208760261536
7e-05,0.0,2.7432448863983154,-0.900407075881958,0.900407075881958
