time,Current: AMD1,Current: AM1-IL,Current: AM2-MOSFET,Current: AM3-Resistor,Voltage: VMD1,Voltage: VM1-VR,Voltage: VM2-Vin
0.0,0.0,0.0,0.0,0.0,-12.0,0.0,12.0
1e-06,0.0,0.09594301134347916,0.09594301134347916,0.00450970558449626,-11.999903678894043,0.011274263262748718,12.0
2e-06,0.0,0.19170920550823212,0.19170920550823212,0.017723556607961655,-11.999808311462402,0.04430888965725899,12.0
3e-06,0.0,0.28713297843933105,0.28713297843933105,0.03878752514719963,-11.999712944030762,0.09696880728006363,12.0
4e-06,0.0,0.3820650577545166,0.3820650577545166,0.06691394746303558,-11.999617576599121,0.16728486120700836,12.0
4.9999999999999996e-06,0.0,0.4763714373111725,0.4763714373111725,0.10137670487165451,-11.999523162841797,0.2534417510032654,12.0
6e-06,0.0,0.5699319839477539,0.5699319839477539,0.14150676131248474,-11.999429702758789,0.35376688838005066,12.0
7e-06,0.0,0.6626394987106323,0.6626394987106323,0.18668799102306366,-11.999337196350098,0.46671995520591736,12.0
8e-06,0.0,0.7543985247612,0.7543985247612,0.23635327816009521,-11.999245643615723,0.590883195400238,12.0
9e-06,0.0,0.8451244831085205,0.8451244831085205,0.28998103737831116,-11.999155044555664,0.7249525785446167,12.0
9.999999999999999e-06,0.0,0.9347429871559143,0.9347429871559143,0.3470917344093323,-11.999065399169922,0.8677293062210083,12.0
1.1e-05,0.0,1.0231887102127075,1.0231887102127075,0.40724489092826843,-11.998976707458496,1.0181121826171875,12.0
1.2e-05,0.0,1.1104048490524292,1.1104048490524292,0.47003617882728577,-11.998889923095703,1.1750904321670532,12.0
1.3e-05,0.0,1.19634211063385,1.19634211063385,0.5350947380065918,-11.998804092407227,1.3377368450164795,12.0
1.4e-05,0.0,1.2809587717056274,1.2809587717056274,0.602080762386322,-11.998719215393066,1.505201816558838,12.0
1.4999999999999999e-05,0.0,1.364219307899475,1.364219307899475,0.670682966709137,-11.998636245727539,1.67670738697052,12.0
1.6e-05,1.446094036102295,1.446094036102295,0.0,0.7406167387962341,0.0,1.8515418767929077,12.0
1.7e-05,1.430627703666687,1.430627703666687,0.0,0.807112991809845,0.0,2.01778244972229,12.0
1.8e-05,1.4139090776443481,1.4139090776443481,0.0,0.8657404184341431,0.0,2.164350986480713,12.0
1.8999999999999998e-05,1.3960895538330078,1.3960895538330078,0.0,0.9171363711357117,0.0,2.2928409576416016,12.0
1.9999999999999998e-05,0.0,1.377307653427124,1.377307653427124,0.9618918299674988,-11.99862289428711,2.4047296047210693,12.0
2.1e-05,0.0,1.4536229372024536,1.4536229372024536,1.0050629377365112,-11.998546600341797,2.512657403945923,12.0
2.2e-05,0.0,1.5290435552597046,1.5290435552597046,1.0513502359390259,-11.9984712600708,2.62837553024292,12.0
2.3e-05,0.0,1.6035109758377075,1.6035109758377075,1.1003687381744385,-11.998396873474121,2.7509217262268066,12.0
2.4e-05,0.0,1.6769741773605347,1.6769741773605347,1.151764988899231,-11.998323440551758,2.8794124126434326,12.0
2.4999999999999998e-05,0.0,1.7493886947631836,1.7493886947631836,1.2052146196365356,-11.998250961303711,3.0130364894866943,12.0
2.6e-05,0.0,1.8207165002822876,1.8207165002822876,1.260420322418213,-11.99817943572998,3.1510508060455322,12.0
2.7e-05,0.0,1.8909250497817993,1.8909250497817993,1.3171097040176392,-11.998108863830566,3.292774200439453,12.0
2.8e-05,0.0,1.9599872827529907,1.9599872827529907,1.3750333786010742,-11.998040199279785,3.4375834465026855,12.0
2.9e-05,0.0,2.0278806686401367,2.0278806686401367,1.4339635372161865,-11.99797248840332,3.5849087238311768,12.0
2.9999999999999997e-05,0.0,2.0945873260498047,2.0945873260498047,1.4936918020248413,-11.997905731201172,3.734229564666748,12.0
3.1e-05,0.0,2.160092830657959,2.160092830657959,1.5540287494659424,-11.99783992767334,3.8850717544555664,12.0
3.2e-05,0.0,2.2243871688842773,2.2243871688842773,1.614801287651062,-11.99777603149414,4.037003040313721,12.0
