"Time / s","Vc:Measured voltage","AMLr:Measured current","VD1:Measured voltage","VD2:Measured voltage","VD3:Measured voltage","VD4:Measured voltage","Vmout:Measured voltage","Am1:Measured current","Am2:Measured current","Am3:Measured current","Am4:Measured current","AMIo:Measured current"
0,0,0,0,0,0,0,0,0,0,0,0,0
3.3333333333333335e-07,58.276069641113281,20.624359130859375,0,-0.064095966517925262,-0.064095966517925262,0,0.064095966517925262,378.2200927734375,0,0,378.2200927734375,0.25638386607170105
6.6666666666666671e-07,221.52731323242188,37.154495239257813,0,-0.24350431561470032,-0.24350431561470032,0,0.24350431561470032,681.160400390625,0,0,681.160400390625,0.97401726245880127
1.0000000000000002e-06,457.36727905273438,46.316452026367188,0,-0.50236386060714722,-0.50236386060714722,0,0.50236386060714722,848.62347412109375,0,0,848.62347412109375,2.0094554424285889
1.3333333333333334e-06,719.03826904296875,46.297683715820313,0,-0.78901851177215576,-0.78901851177215576,0,0.78901851177215576,847.28253173828125,0,0,847.28253173828125,3.156074047088623
1.6666666666666667e-06,954.6832275390625,37.105667114257813,0,-1.0462601184844971,-1.0462601184844971,0,1.0462601184844971,677.2757568359375,0,0,677.2757568359375,4.1850404739379883
2.0000000000000003e-06,1117.623291015625,20.565650939941406,0,-1.222667932510376,-1.222667932510376,0,1.222667932510376,372.1656494140625,0,0,372.1656494140625,4.8906717300415039
2.3333333333333336e-06,1175.606689453125,-0.041607499122619629,-1.2827960252761841,0,0,-1.2827960252761841,1.2827960252761841,0,7.7242918014526367,7.7242918014526367,0,5.1311841011047363
2.6666666666666668e-06,1121.7618408203125,-19.014518737792969,-1.3422979116439819,0,0,-1.3422979116439819,1.3422979116439819,0,353.67822265625,353.67822265625,0,5.3691916465759277
3.0000000000000001e-06,971.37078857421875,-34.21282958984375,-1.5071924924850464,0,0,-1.5071924924850464,1.5071924924850464,0,630.2293701171875,630.2293701171875,0,6.0287699699401855
3.3333333333333333e-06,754.267333984375,-42.626785278320313,-1.7444461584091187,0,0,-1.7444461584091187,1.7444461584091187,0,782.0391845703125,782.0391845703125,0,6.9777846336364746
3.666666666666667e-06,513.49078369140625,-42.592269897460938,-2.0065124034881592,0,0,-2.0065124034881592,2.0065124034881592,0,778.5106201171875,778.5106201171875,0,8.0260496139526367
4.0000000000000007e-06,296.75167846679688,-34.119941711425781,-2.240760326385498,0,0,-2.240760326385498,2.240760326385498,0,619.84234619140625,619.84234619140625,0,8.9630413055419922
4.3333333333333339e-06,146.9749755859375,-18.892631530761719,-2.3999054431915283,0,0,-2.3999054431915283,2.3999054431915283,0,336.977783203125,336.977783203125,0,9.5996217727661133
4.6666666666666672e-06,93.7965087890625,0.068895816802978516,0,-2.4513800144195557,-2.4513800144195557,0,2.4513800144195557,14.538616180419922,0,0,14.538616180419922,9.8055200576782227
5.0000000000000004e-06,138.96519470214844,15.916614532470703,0,-2.5015847682952881,-2.5015847682952881,0,2.5015847682952881,301.37686157226563,0,0,301.37686157226563,10.006339073181152
5.3333333333333337e-06,148.2056884765625,-12.64398193359375,-2.5108985900878906,0,0,-2.5108985900878906,2.5108985900878906,0,226.31953430175781,226.31953430175781,0,10.043594360351563
5.6666666666666669e-06,12.108161926269531,-35.5244140625,-2.6547203063964844,0,0,-2.6547203063964844,2.6547203063964844,0,641.980712890625,641.980712890625,0,10.618881225585938
6.0000000000000002e-06,-233.379638671875,-51.361480712890625,-2.9172687530517578,0,0,-2.9172687530517578,2.9172687530517578,0,928.14617919921875,928.14617919921875,0,11.669075012207031
6.3333333333333334e-06,-539.59991455078125,-57.020553588867188,-3.2447435855865479,0,0,-3.2447435855865479,3.2447435855865479,0,1027.1826171875,1027.1826171875,0,12.978974342346191
6.6666666666666666e-06,-845.88409423828125,-51.38519287109375,-3.570176362991333,0,0,-3.570176362991333,3.570176362991333,0,918.5643310546875,918.5643310546875,0,14.280705451965332
7.0000000000000007e-06,-1091.5804443359375,-35.577529907226563,-3.8267090320587158,0,0,-3.8267090320587158,3.8267090320587158,0,622.9273681640625,622.9273681640625,0,15.306836128234863
7.333333333333334e-06,-1228.072998046875,-12.735057830810547,-3.9608438014984131,0,0,-3.9608438014984131,3.9608438014984131,0,197.96443176269531,197.96443176269531,0,15.843375205993652
7.6666666666666672e-06,-1228.41064453125,12.611801147460938,0,-3.9430418014526367,-3.9430418014526367,0,3.9430418014526367,273.02166748046875,0,0,273.02166748046875,15.772167205810547
8.0000000000000013e-06,-1106.6806640625,30.470390319824219,0,-4.0845370292663574,-4.0845370292663574,0,4.0845370292663574,594.36846923828125,0,0,594.36846923828125,16.33814811706543
8.3333333333333337e-06,-901.12664794921875,42.280502319335938,0,-4.3159146308898926,-4.3159146308898926,0,4.3159146308898926,804.49267578125,0,0,804.49267578125,17.26365852355957
8.6666666666666678e-06,-652.52972412109375,45.70562744140625,0,-4.5920901298522949,-4.5920901298522949,0,4.5920901298522949,860.43572998046875,0,0,860.43572998046875,18.36836051940918
9.0000000000000002e-06,-410.17642211914063,40.0716552734375,0,-4.8586640357971191,-4.8586640357971191,0,4.8586640357971191,749.80859375,0,0,749.80859375,19.434656143188477
9.3333333333333343e-06,-222.0887451171875,26.500083923339844,0,-5.0627074241638184,-5.0627074241638184,0,5.0627074241638184,493.2353515625,0,0,493.2353515625,20.250829696655273
9.6666666666666667e-06,-125.50823974609375,7.684906005859375,0,-5.1632485389709473,-5.1632485389709473,0,5.1632485389709473,140.25439453125,0,0,140.25439453125,20.652994155883789
1.0000000000000001e-05,-139.52015686035156,-12.641830444335938,-5.1393890380859375,0,0,-5.1393890380859375,5.1393890380859375,0,240.50892639160156,240.50892639160156,0,20.55755615234375
1.0333333333333333e-05,-126.42535400390625,17.273796081542969,0,-5.1196804046630859,-5.1196804046630859,0,5.1196804046630859,316.090087890625,0,0,316.090087890625,20.478721618652344
1.0666666666666667e-05,27.772346496582031,37.301376342773438,0,-5.2808742523193359,-5.2808742523193359,0,5.2808742523193359,675.38525390625,0,0,675.38525390625,21.123497009277344
1.1000000000000001e-05,274.252685546875,49.936492919921875,0,-5.5406088829040527,-5.5406088829040527,0,5.5406088829040527,898.7720947265625,0,0,898.7720947265625,22.162435531616211
1.1333333333333334e-05,564.18096923828125,52.680084228515625,0,-5.8449187278747559,-5.8449187278747559,0,5.8449187278747559,940.3038330078125,0,0,940.3038330078125,23.379674911499023
