"Time / s","Vm1:Measured voltage","Vm2:Measured voltage","Vm3:Measured voltage","Vm4:Measured voltage","Am1:Measured current","Am2:Measured current"
0,0,0,0,0,0,0
1.0000000000000001e-05,0.014473024927113783,0.014762499898680986,-0.24633730985086921,0.34019575528483564,0.28947497156720275,0
2.0000000000000002e-05,0.070128948610665931,0.070952676714743312,-0.26678037277069977,0.32944341307510205,0.82372810407737784,0
3.0000000000000004e-05,0.17645876322295545,0.17776187799883569,-0.36544351938517772,0.39413689926902951,1.3031147758802462,0
4.0000000000000003e-05,0.32952168923998942,0.33128033896490233,-0.50802665680468406,0.48822236943415787,1.7586497249128965,0
5.0000000000000002e-05,0.52677692489266714,0.5289642361794219,-0.69514716781315844,0.61438291357636388,2.1873112867547904,0
6.0000000000000008e-05,0.76556051701070893,0.76815016990375684,-0.9238405233045528,0.77028750742490848,2.5896528930479512,0
7.0000000000000007e-05,1.0432487069151644,1.0462146266294294,-1.191537730202346,0.95413989063594862,2.965919714265087,0
8.0000000000000007e-05,1.3572469439251258,1.3605633894467108,-1.4956609317297165,1.1641104062923064,3.3164455215849857,0
9.0000000000000006e-05,1.7049965120651729,1.7086381201498448,-1.8336706283364186,1.3983985524349976,3.6416080846719554,0
0.0001,2.0839789751902345,2.087920805343551,-2.2030659520726403,1.6552302191932284,3.9418301533165301,0
0.00011,2.4917204874195296,2.4959380632102617,-2.6013894264135402,1.9328614098731984,4.2175757907319866,0
0.00012000000000000002,2.9257957634532885,2.9302651106994828,-3.0262309118658823,2.22958104384014,4.4693472461940793,0
0.00013000000000000002,3.3838317362732839,3.3885294181109895,-3.4752312901537783,2.5437136089814869,4.6976818377055611,0
0.00014000000000000001,3.8635109062578978,3.868414055162527,-3.9460858366586926,2.8736215892113908,4.9031489046292496,0
0.00015000000000000001,4.3625743886752968,4.3676607355043107,-4.4365472935156873,3.2177076797329818,5.0863468290136726,0
0.00016000000000000001,4.8788246666843014,4.8840725668145231,-4.944428649769641,3.5744167941141818,5.2479001302217867,0
0.00017000000000000001,5.4101280573815673,5.415516514018015,-5.4676056360435572,3.9422378684359671,5.3884566364476072,0
0.00018000000000000001,5.954416898776298,5.9599255835127014,-6.0040189414516227,4.3197054679285021,5.5086847364031826,0
0.00019000000000000001,6.5096914658828338,6.5153007365969255,-6.5516761608092402,4.7054012017464668,5.6092707140922249,0
0.00020000000000000001,7.0740216243948542,7.0797125405640928,-7.1086534804687744,5.0979549517349412,5.69091616923847,0
0.00021000000000000001,7.6455482306439464,7.6513025661695444,-7.6730971113528312,5.4960459212138968,5.7543355255984299,0
0.00022000000000000001,8.2224842867510439,8.2282845403801055,-8.2432244779668338,5.8984035099624776,5.8002536290609514,0
0.00023000000000000001,8.8031158600527419,8.8089452634898624,-8.8173251723502482,6.3038080217143104,5.8294034371198444,0
0.00024000000000000003,9.3858027760269973,9.3916452998279993,-9.393761682072796,6.7110912105834313,5.8425238010013238,0
0.00025000000000000001,9.9689790940553138,9.9748194513967494,-9.9709699014989539,7.1191366729271355,5.8403573414350767,0
0.00026000000000000003,10.55115337544243,10.556977023861206,-10.547459435632341,7.5268800912187253,5.8236484187767505,0
0.00027,11.130908753170861,11.13670189436878,-11.121813705912658,7.933309336549943,5.7931411979205087,0
0.00028000000000000003,11.70690281289775,11.712652390705934,-11.692689867372339,8.337464436411123,5.7495778081833562,0
0.00029,12.277867294706432,12.28356099130453,-12.258818546569746,8.7384374144072776,5.693696598097878,0
0.00030000000000000003,12.842607625106202,12.848233855591019,-12.819003409701381,9.1353720085616761,5.6262304848173468,0
0.00031,13.400002288732193,13.405550194129809,-13.372120570258609,9.5274632748353358,5.5479053976162991,0
0.00032000000000000003,13.949002049134169,13.954461487948929,-13.917117845535998,9.9139570824527059,5.4594388147611319,0
0.00033000000000000005,14.488629027959798,14.493990566352625,-14.453013871219504,10.294149507570728,5.3615383928285585,0
0.00034000000000000002,15.017975651735489,15.023230552422854,-14.978897083185103,10.667386131762223,5.2549006873649624,0
0.00035000000000000005,15.536203475327723,15.541343685291329,-15.493924575522541,11.033061251704954,5.1402099636067859,0
0.00036000000000000002,16.042541891030773,16.047560028126593,-15.997320843666444,11.3906170063765,5.0181370958206131,0
0.00037000000000000005,16.536286732074238,16.541176070627909,-16.48837642136899,11.739542427952458,4.8893385536717773,0
0.00038000000000000002,17.016798779176845,17.021553234650739,-16.966446420085553,12.079372422492533,4.7544554738916389,0
0.00039000000000000005,17.483502178592847,17.488116291408232,-17.430948979169049,12.409686686376521,4.6141128153861715,0
0.00040000000000000002,17.935882779904812,17.940351698500624,-17.881363635080248,12.730108564320791,4.4689185958117132,0
0.00041000000000000005,18.373486401613206,18.377805864820743,-18.317229617621926,13.040303854666288,4.3194632075377211,0
0.00042000000000000002,18.795917032359416,18.800083351170237,-18.738144080995244,13.339979567482509,4.1663188108204547,0
0.00043000000000000004,19.202834975396353,19.206845014198279,-19.143760277257751,13.628882640878111,4.0100388019260507,0
0.00044000000000000002,19.593954943689965,19.59780610104383,-19.533785679535796,13.906798620749882,3.8511573538653394,0
0.00045000000000000004,19.969044112797238,19.972734301824577,-19.907980062109665,14.173550309036848,3.690189027336654,0
0.00046000000000000001,20.327920138422286,20.331447766871701,-20.266153544249693,14.428996385377538,3.5276284494155057,0
0.00047000000000000004,20.670449145302971,20.673813095360455,-20.608164604435611,14.673030006894969,3.3639500574819383,0
0.00048000000000000007,20.99654369382694,20.999743301732778,-20.933918071341388,14.90557739065812,3.1996079058366469,0
0.00049000000000000009,21.306160730518833,21.309195766051261,-21.243363097713818,15.126596383189042,3.0350355324256082,0
0.00050000000000000001,21.59929952828065,21.602170174163721,-21.536491123016326,15.336075021204131,2.8706458830695549,0
0.00051000000000000004,21.875999622005551,21.878706453296129,-21.813333830450915,15.534030087594868,2.7068312905787852,0
0.00052000000000000006,22.136338744922408,22.138882708428532,-22.07396110371095,15.720505666470192,2.543963506125289,0
0.00053000000000000009,22.380430770765017,22.382813164545258,-22.318478988556699,15.895571700897705,2.3823937802426087,0
0.00054000000000000001,22.608423666596721,22.61064611958755,-22.547027664045174,16.059322556797188,2.2224529908289359,0
0.00055000000000000003,22.820497460858796,22.822561912674335,-22.759779427985656,16.21187559625556,2.0644518155401013,0
0.00056000000000000006,23.016862230950039,23.018770911896016,-22.956936700933873,16.353369763349697,1.9086809459765686,0
