"Time / s","Vmout:Measured voltage","Vp:Measured voltage","Vs1:Measured voltage","Vs2:Measured voltage","VD1:Measured voltage","VD2:Measured voltage","AM_D1:Measured current","AM_D2:Measured current","VC1:Measured voltage","AML1:Measured current","AMI0:Measured current","Vsw1:Measured voltage","Vsw2:Measured voltage","VL1:Measured voltage"
0,0,85.285129287576922,0,-2.4846704938118904,0,-2.4846704938118904,0,0,0,0,0,0,1000,914.71487071242314
4.9999999999999998e-07,0.03164834908244564,79.090406684907208,0.03164834908244564,-2.3200031662940575,0,-2.3516515153765032,124.94214673070735,0,78.350518323414732,7.4211131206702179,124.94214673070735,0,1000,842.55907499167813
9.9999999999999995e-07,0.1215479044454806,61.482846691630051,0.1215479044454806,-1.8519332375472328,0,-1.9734811419927132,230.13993343109155,0,301.03986328032647,13.671423783612504,230.13993343109155,0,1000,637.47729002804351
1.5e-06,0.25542526440180813,35.238926281030537,0.25542526440180813,-1.1542204108893432,0,-1.4096456752911515,298.96434082010222,0,632.93530400555551,17.764860894467041,298.96434082010222,0,1000,331.82576971341405
1.9999999999999999e-06,0.41205279228730513,4.4973626162462494,0.41205279228730513,-0.33683795350511403,0,-0.74889074579241899,320.52506022572112,0,1021.6755337609719,19.055645199561141,320.52506022572112,0,1000,-26.17289637721808
2.4999999999999998e-06,0.56659774099617999,-25.893850993061832,0.56659774099617999,0.47137772606542772,0,-0.095220014930752939,291.38858786431263,0,1405.9317045891939,17.340169252080671,291.38858786431263,0,1000,-380.03785359613198
3.0000000000000001e-06,0.68971114935604105,-46.495117753945081,0.68971114935604105,0.68971114935604105,0,0,216.71922454316802,5.8539811243692972,1708.3022370105587,12.580985798651653,222.57320566753731,0,1000,-661.80711925661365
3.4999999999999999e-06,0.78154271422660782,-59.518583883179986,0.78154271422660782,0.78154271422660782,0,0,124.62992803288957,21.619118290377642,1906.7004912484592,6.2071315625703924,146.24904632326721,0,1000,-847.18190736527924
3.9999999999999998e-06,0.83310412013035118,-63.017058899437899,0.83310412013035118,0.83310412013035118,0,0,20.417095757276815,42.069447566517994,1959.9959295621038,-1.1600650677024351,62.486543323794805,0,1000,-896.97887066266583
4.5000000000000001e-06,0.8753991702918551,-85.131223044717842,-2.9174332619942955,0.8753991702918551,-3.7928324322861506,0,0,135.42552158853272,1840.1151781577337,-7.9315148314240087,135.42552158853272,0,1000,-754.98395511301578
4.9999999999999996e-06,0.96640654800702375,-152.58270963316681,-4.9280005416100421,0.96640654800702375,-5.8944070896170659,0,0,227.54651075530887,1614.5748776598018,-13.431063777650122,227.54651075530887,1000,0,-1461.992168026635
5.4999999999999999e-06,1.1265803250681354,-121.13633486900959,-4.0918556259924683,1.1265803250681354,-5.218435951060604,0,0,408.87617875031117,1216.9300902408197,-24.232793116922466,408.87617875031117,1000,0,-1095.79375537181
6.0000000000000002e-06,1.362107090070745,-74.840716369086792,-2.8607349547654719,1.362107090070745,-4.2228420448362165,0,0,525.73477507543316,631.56507601888688,-31.211493735112285,525.73477507543316,1000,0,-556.72435964980014
6.4999999999999996e-06,1.6355507113405086,-20.995236494755765,-1.4285977735876882,1.6355507113405086,-3.064148484928197,0,0,559.5565993592619,-49.171936399861266,-33.26623948317355,559.5565993592619,1000,0,70.167172894617025
6.9999999999999999e-06,1.903428799547304,31.91074862095839,-0.021051654452441726,1.903428799547304,-1.924480453999746,0,0,504.87673625850624,-717.88799384099343,-30.072951453560258,504.87673625850624,1000,0,685.97724522003512
7.4999999999999993e-06,2.1230730043472774,75.537257774458226,1.140241075209151,2.1230730043472774,-0.98283192913812645,0,0,370.19316542481056,-1269.088619725457,-22.135520614626493,370.19316542481056,1000,0,1193.5513619509989
7.9999999999999996e-06,2.2593608425963589,103.00945569586517,1.8725341658627124,2.2593608425963589,-0.38682667673364701,0,0,176.62597812247202,-1615.8213590090445,-10.70630357544167,176.62597812247202,1000,0,1512.8119033131793
8.4999999999999999e-06,2.2940648861393029,176.92218187120346,2.2940648861393029,-6.3002413686771845,0,-8.5943062548164875,41.922203800594808,0,-1660.2147814782236,2.232795139207949,41.922203800594808,1000,0,1483.2925996070201
9.0000000000000002e-06,2.3631536903503636,163.28821586749368,2.3631536903503636,-5.9375422868576759,0,-8.30069597720804,240.37250769782233,0,-1487.875330879428,14.09069527755892,240.37250769782233,1000,0,1324.5871150119342
9.4999999999999988e-06,2.5232016939871462,131.70261097512866,2.5232016939871462,-5.0972782622533011,0,-7.6204799562404482,401.33582133212741,0,-1088.6207304521124,23.725664063093941,401.33582133212741,1000,0,956.91811947698375
9.9999999999999991e-06,2.7486341676445365,172.42836306572585,2.7486341676445365,-6.3963692776701002,0,-9.1450034453146376,499.17986262395078,0,-525.43662851005399,29.617734084854334,499.17986262395078,0,1000,1353.0082654443281
1.0499999999999999e-05,3.0350909311261933,115.72315671261357,3.0350909311261933,-4.8874175502743711,0,-7.9225084814005653,643.17304881117718,0,191.18166775931925,38.258569802909449,643.17304881117718,0,1000,693.09517552806722
1.1e-05,3.3684137969665433,49.613512576202105,3.3684137969665433,-3.1278886516942146,0,-6.4963024486607583,685.38647513588649,0,1026.5336247299676,40.863957340411211,685.38647513588649,0,1000,-76.147137306169725
1.15e-05,3.6952468623119379,-15.483497626488202,3.6952468623119379,-1.3946199737202463,0,-5.0898668360321846,618.89155856071977,0,1848.8401376934401,37.023009963329137,618.89155856071977,0,1000,-833.35664006695197
1.2e-05,3.9631247500093423,-69.312900701107878,3.9631247500093423,0.039828817856268905,0,-3.9232959321530743,453.91080518540133,0,2528.3835794465167,27.341863930484884,453.91080518540133,0,1000,-1459.0706787454089
1.2499999999999999e-05,4.128750284143428,-103.39971236330706,4.128750284143428,0.95017634515001381,0,-3.1785739389934147,216.20496269919144,0,2957.9729580812782,13.348041748020476,216.20496269919144,0,1000,-1854.5732457179713
1.2999999999999999e-05,4.1693626433896531,-236.21319484552561,-8.9642858815164281,4.1693626433896531,-13.133648524906082,0,0,51.236728643967574,3016.7814355722107,-2.4621050288442916,51.236728643967574,0,1000,-1780.5682407266847
