time,V_D2,VS1,VS2,Vp,VSW2,VL1,Vo,Io,VC1,I_D2,VSW1,ILr,I_D1,V_D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
3.1554436208840472e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
2.7755575479707195e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
2.77555758932975e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
2.7755576208841863e-22,0.0,-2.4846704938118904,0.0,85.28512928757665,1000.0,914.7148707124235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4846704938118904
2.7755576524386225e-22,8.106940203162618e-25,-2.4846704938118904,8.107602154418847e-25,85.28512928757665,1000.0,914.7148707124232,6.61951256228902e-29,8.106940203162618e-22,1.5452912299957438e-25,8.106940203162618e-22,4.815012289173301e-24,4.8150122891733e-23,0.0,-2.4846704938118904
5.5511152417683725e-22,7.124324508841267e-17,-2.4846704938118904,7.124324508847887e-17,85.28512928757665,1000.0,914.7148707124232,6.620501260948239e-29,7.124324508841266e-14,1.5455359073339968e-25,7.124324508841266e-14,4.231406383947869e-16,4.231406383947869e-15,0.0,-2.4846704938118904
1.942890318841712e-21,4.2745946647700586e-16,-2.484670493811891,4.274594664770724e-16,85.28512928757665,1000.0,914.7148707124232,6.655105713345856e-29,4.2745946647700585e-13,1.5540996140058007e-25,4.2745946647700585e-13,2.5388438062936603e-15,2.53884380629366e-14,0.0,-2.484670493811891
8.881784292166087e-21,2.2085405734199716e-15,-2.4846704938118926,2.2085405734200474e-15,85.28512928757668,1000.0,914.7148707124232,7.569651952872052e-29,2.2085405734199717e-12,1.7804261468782796e-25,2.2085405734199717e-12,1.3117359645788026e-14,1.3117359645788026e-13,0.0,-2.4846704938118926
4.357625415878796e-20,1.11139461081348e-14,-2.4846704938119006,1.1113946108135107e-14,85.28512928757682,999.9999999999999,914.714870712423,3.0680482588955718e-28,1.11139461081348e-11,7.499758799077165e-25,1.11139461081348e-11,6.600993884325986e-14,6.600993884325985e-13,0.0,-2.4846704938119006
2.1704860349189734e-19,5.5640973781708914e-14,-2.4846704938119424,5.564097378171501e-14,85.28512928757748,999.9999999999997,914.7148707124221,6.0968712173069055e-27,5.564097378170891e-11,1.507889217559839e-23,5.564097378170891e-11,3.304728348306188e-13,3.304728348306188e-12,0.0,-2.4846704938119424
1.0844103501574442e-18,2.782761121495787e-13,-2.48467049381215,2.782761121497296e-13,85.2851292875808,999.9999999999983,914.7148707124175,1.5091032466472235e-25,2.782761121495787e-10,3.734547228938317e-22,2.782761121495787e-10,1.6527873147674096e-12,1.6527873147674096e-11,0.0,-2.48467049381215
5.421219083485179e-18,1.3914518039889074e-12,-2.4846704938131894,1.391451803992679e-12,85.28512928759737,999.9999999999917,914.7148707123943,3.7715556291599646e-24,1.3914518039889074e-09,9.333615107479413e-21,1.3914518039889074e-09,8.264359714451262e-12,8.264359714451263e-11,0.0,-2.4846704938131894
