time,Current: AMDpa,Current: AMDpb,Current: AMDpc,Current: AMDpd,Current: AMDP1,Current: AMDP2,Voltage: VMCF,Voltage: VMDpa,Voltage: VMDpb,Voltage: VMDpc,Voltage: VMDpd,Voltage: VMDP1,Voltage: VMDP2,Voltage: VMout
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.1490395738510415e-05,0.0,0.0,-2.1490395738510415e-05,-2.1490395738510415e-05,0.0,0.0,0.0
3e-06,1.365236585115781e-06,1.365236585115781e-06,0.0,0.0,-6.816704285483866e-07,6.816704853918054e-07,0.00010155150812352076,0.0,0.0,-0.00010155150812352076,-0.00010155150812352076,-3.8687308911988794e-10,0.0,3.8687308911988794e-10
4e-06,5.459592102852184e-06,5.459592102852184e-06,0.0,0.0,-3.097284206887707e-09,2.7288406272418797e-06,0.0002669418172445148,0.0,0.0,-0.0002669418172445148,-0.0002669418172445148,-2.322463776849304e-09,0.0,2.322463776849304e-09
4.9999999999999996e-06,1.438719300494995e-05,1.438719300494995e-05,0.0,0.0,-8.16407919046469e-09,7.192612883955007e-06,0.0005365473916754127,0.0,0.0,-0.0005365473916754127,-0.0005365473916754127,-7.953254055337311e-09,0.0,7.953254055337311e-09
6e-06,3.060536255361512e-05,3.060536255361512e-05,0.0,0.0,-1.7367710825055838e-08,1.530161898699589e-05,0.0009231023141182959,0.0,0.0,-0.0009231023141182959,-0.0009231023141182959,-2.0719557625170637e-08,0.0,2.0719557625170637e-08
7e-06,5.6800563470460474e-05,5.6800563470460474e-05,0.0,0.0,-3.223249223083258e-08,2.839903572748881e-05,0.0014344989322125912,0.0,0.0,-0.0014344989322125912,-0.0014344989322125912,-4.5521286295979735e-08,0.0,4.5521286295979735e-08
8e-06,9.579169272910804e-05,9.579169272910804e-05,0.0,0.0,-5.4362317314371467e-08,4.7894223826006055e-05,0.0020747692324221134,0.0,0.0,-0.0020747692324221134,-0.0020747692324221134,-8.882051361069898e-08,0.0,8.882051361069898e-08
9e-06,0.00015045245527289808,0.00015045245527289808,0.0,0.0,-8.53833626024425e-08,7.522392115788534e-05,0.0028448239900171757,0.0,0.0,-0.0028448239900171757,-0.0028448239900171757,-1.586945899134662e-07,0.0,1.586945899134662e-07
9.999999999999999e-06,0.00022364832693710923,0.00022364832693710923,0.0,0.0,0.00011182765592820942,-1.2692908057942986e-07,0.003743015928193927,0.0,0.0,-0.003743015928193927,-0.003743015928193927,-2.648492625212384e-07,-2.648492625212384e-07,2.648492625212384e-07
1.1e-05,0.00031743827275931835,0.00031743827275931835,0.0,0.0,0.00015834695659577847,-0.00015834691294003278,0.004765698220580816,0.0,0.0,-0.004765698220580816,-0.004765698220580816,0.0,-4.1818327645160025e-07,4.1818327645160025e-07
1.2e-05,0.00043602148070931435,0.00043602148070931435,0.0,0.0,0.0002176356501877308,-2.470333129167557e-07,0.005907316226512194,0.0,0.0,-0.005907316226512194,-0.005907316226512194,0.0,-6.315672180789988e-07,6.315672180789988e-07
1.3e-05,0.0005812128074467182,0.0005812128074467182,0.0,0.0,0.00029022700618952513,-3.294262569397688e-07,0.007160679437220097,0.0,0.0,-0.007160679437220097,-0.007160679437220097,0.0,-9.197979125019629e-07,9.197979125019629e-07
1.4e-05,0.0007554017938673496,0.0007554017938673496,0.0,0.0,0.000377315329387784,-4.2826286517083645e-07,0.008517436683177948,0.0,0.0,-0.008517436683177948,-0.008517436683177948,0.0,-1.2986527053726604e-06,1.2986527053726604e-06
1.4999999999999999e-05,0.0009607800166122615,0.0009607800166122615,0.0,0.0,0.0004799958551302552,-5.448237061500549e-07,0.00996814202517271,0.0,0.0,-0.00996814202517271,-0.00996814202517271,0.0,-1.78520826921158e-06,1.78520826921158e-06
1.6e-05,0.0011993185617029667,0.0011993185617029667,0.0,0.0,0.0005992535152472556,-6.801565177738667e-07,0.011502419598400593,0.0,0.0,-0.011502419598400593,-0.011502419598400593,0.0,-2.3977218006621115e-06,2.3977218006621115e-06
1.7e-05,0.0014727491652593017,0.0014727491652593017,0.0,0.0,0.000735953391995281,-8.353381417691708e-07,0.013109110295772552,0.0,0.0,-0.013109110295772552,-0.013109110295772552,0.0,-3.1555005080008414e-06,3.1555005080008414e-06
1.8e-05,0.0017825481481850147,0.0017825481481850147,0.0,0.0,0.0008908327436074615,-1.0111252777278423e-06,0.014776409603655338,0.0,0.0,-0.014776409603655338,-0.014776409603655338,0.0,-4.078761321579805e-06,4.078761321579805e-06
1.8999999999999998e-05,0.0021299233194440603,0.0021299233194440603,0.0,0.0,0.0010644946014508605,-1.2082746252417564e-06,0.016491994261741638,0.0,0.0,-0.016491994261741638,-0.016491994261741638,0.0,-5.188481281948043e-06,5.188481281948043e-06
1.9999999999999998e-05,0.0025158042553812265,0.0025158042553812265,0.0,0.0,-1.4282995834946632e-06,0.0012584016658365726,0.01824313960969448,0.0,0.0,-0.01824313960969448,-0.01824313960969448,-6.506242698378628e-06,-6.506242698378628e-06,6.506242698378628e-06
2.1e-05,0.0029333599377423525,0.0029333599377423525,0.0,0.0,-0.001463394146412611,0.0014633949613198638,0.020018087700009346,0.0,0.0,-0.020018087700009346,-0.020018087700009346,-8.050961696426384e-06,0.0,8.050961696426384e-06
2.2e-05,0.0033979464787989855,0.0033979464787989855,0.0,0.0,-1.9246945157647133e-06,0.0016956385225057602,0.021803652867674828,0.0,0.0,-0.021803652867674828,-0.021803652867674828,-9.843828593147919e-06,0.0,9.843828593147919e-06
2.3e-05,0.003902147524058819,0.003902147524058819,0.0,0.0,-2.210726961493492e-06,0.0019476787419989705,0.023585336282849312,0.0,0.0,-0.023585336282849312,-0.023585336282849312,-1.191154387925053e-05,0.0,1.191154387925053e-05
2.4e-05,0.004445727448910475,0.004445727448910475,0.0,0.0,-2.5192275643348694e-06,0.0022193959448486567,0.0253499336540699,0.0,0.0,-0.0253499336540699,-0.0253499336540699,-1.4276511137722991e-05,0.0,1.4276511137722991e-05
2.4999999999999998e-05,0.005028157494962215,0.005028157494962215,0.0,0.0,-2.8496142476797104e-06,0.002510524122044444,0.027084389701485634,0.0,0.0,-0.027084389701485634,-0.027084389701485634,-1.6960913853836246e-05,0.0,1.6960913853836246e-05
2.6e-05,0.005648622289299965,0.005648622289299965,0.0,0.0,-3.2016541808843613e-06,0.0028206538408994675,0.028775908052921295,0.0,0.0,-0.028775908052921295,-0.028775908052921295,-1.998655170609709e-05,0.0,1.998655170609709e-05
2.7e-05,0.0063060251995921135,0.0063060251995921135,0.0,0.0,-3.5746488720178604e-06,0.0031492349226027727,0.030412040650844574,0.0,0.0,-0.030412040650844574,-0.030412040650844574,-2.3374681404675357e-05,0.0,2.3374681404675357e-05
2.8e-05,0.006998998112976551,0.006998998112976551,0.0,0.0,-3.967666998505592e-06,0.003495580982416868,0.031980786472558975,0.0,0.0,-0.031980786472558975,-0.031980786472558975,-2.7145855710841715e-05,0.0,2.7145855710841715e-05
2.9e-05,0.007725912146270275,0.007725912146270275,0.0,0.0,-4.3800100684165955e-06,0.00385887548327446,0.03347068279981613,0.0,0.0,-0.03347068279981613,-0.03347068279981613,-3.131977791781537e-05,0.0,3.131977791781537e-05
2.9999999999999997e-05,0.008484889753162861,0.008484889753162861,0.0,0.0,0.0042467121966183186,-4.820059984922409e-06,0.03487088903784752,0.0,0.0,-0.03487088903784752,-0.03487088903784752,-3.591514905565418e-05,-3.591514905565418e-05,3.591514905565418e-05
3.1e-05,0.009249642491340637,0.009249642491340637,0.0,0.0,0.00461676437407732,-0.004616760183125734,0.03617528825998306,0.0,0.0,-0.03617528825998306,-0.03617528825998306,0.0,-4.0945495129562914e-05,4.0945495129562914e-05
3.2e-05,0.010066376999020576,0.010066376999020576,0.0,0.0,0.005024889018386602,-5.7034194469451904e-06,0.03737448528409004,0.0,0.0,-0.03737448528409004,-0.03737448528409004,0.0,-4.6417484554694965e-05,4.6417484554694965e-05
3.2999999999999996e-05,0.01090838760137558,0.01090838760137558,0.0,0.0,0.00544562004506588,-6.181187927722931e-06,0.038455862551927567,0.0,0.0,-0.038455862551927567,-0.038455862551927567,0.0,-5.2359879191499203e-05,5.2359879191499203e-05
